lemma, CV, distance
lā,NU.ŠE.GA,8
lā,MUNUS.NU.SI.SA₂,15
lā,la+a,3
lā,IGI.NU.TUKU,11
bēlu,belu₄,2
bēlu,beli₃,3
bēlu,EN,4
bēlu,ENia,4
bēlu,ENšu₂,4
bēlu,{d}+EN,6
bēlu,beli₂ia₂,6
bēlu,beli,2
bēlu,{d}EN,5
bēlu,beel,3
bēlu,EN.EN,5
bēlu,belu,1
bēlu,belum,2
bēlu,beli₂šu,4
bēlu,beli₂ia,5
bēlu,ENka,4
bēlu,ENMEŠ,5
bēlu,ENia₂,5
bēlu,beelšu₂,4
bēlu,ENBI,4
bēlu,ENšu₂un,6
bēlu,belišu₂,4
bēlu,beliia,4
bēlu,be₂eli₂ia,7
bēlu,be₂eli₂,5
bēlu,ENu₂a,5
bēlu,belika,4
bēlu,ENiaama,7
bēlu,ENni,4
bēlu,beelkama,6
bēlu,ENMEŠe,6
bēlu,{lu₂}EN.NAM,10
bēlu,beli₂šu₂,5
bēlu,belašu,3
bēlu,ENa,4
bēlu,ENšu₂nu,6
bēlu,bela,2
bēlu,ENURUMEŠ,8
bēlu,LUGAL.A.NI.IR,13
bēlu,{lu₂}ENdababi,12
bēlu,ENšunu,5
bēlu,bele₂ku,4
bēlu,ENšu,3
bēlu,ENMEŠšu₂,7
bēlu,{m}{d}+ENDINiṭ,14
bēlu,UMUNšu₂,6
bēlu,be₂li,3
bēlu,beelka,4
bēlu,{d}ENE₂.KUR,11
bēlu,{d}+ENE₂.GAL,12
bēlu,LUGAL.A.NE₂.ER,14
bēlu,ENME,4
bēlu,beelkaama,7
bēlu,ENu₂šu₂,6
bēlu,ENkunu,5
bēlu,{m}{d}ENDADU₃.A.BI,18
bēlu,ENini,5
bēlu,{d}UMUN,7
bēlu,ENE₂ma,6
bēlu,ENE₂,4
bēlu,beli₂;ni,6
bēlu,belani,4
bēlu,beelša₂,5
bēlu,ENša₂,5
bēlu,{d}+ENia₂,9
bēlu,beli₂šu₂nu,7
bēlu,{lu₂}ENMEŠ,9
bēlu,LUGAL,5
bēlu,beli₂ša,5
bēlu,beelu,2
bēlu,EN.E,4
bēlu,beli₂ia₃,6
bēlu,beelni,4
bēlu,ENani,5
bēlu,{m}ENKURua,9
ana,ina,1
ana,an,1
ana,a,2
ana,a-na,1
ana,amala₂,4
ana,aṣṣeriia,6
ana,na,1
ana,{m}ana,3
ana,DIŠ,3
ana,akunušiimma,8
ana,ŠE₃,3
ana,ana(ina),5
ana,aqa₂ti₂,5
ana,{a}ana,3
ana,ana₂,1
ana,ZAG.TIL.LA.BI.ŠE₃,17
ana,ša₂,3
ana,U₄.KUR.ŠE₃,10
ana,aṣeer,4
ana,NIG₂.ZU.ŠE₃,11
ana,ana{d}600paqadi,12
tāhāzu,ME₃,6
tāhāzu,ME₃MEŠte,8
tāhāzu,ME₃MEŠtu,7
tāhāzu,tahaza,3
tāhāzu,tahazišu₂,5
tāhāzu,tahazu,2
tāhāzu,tahaziia,5
tāhāzu,ME₃ia,6
tāhāzu,ME₃@v,6
tāhāzu,tahazaate,6
ṣīru,ṣiiri,3
ṣīru,MAHMEŠ,6
ṣīru,MAH,4
ṣīru,ṣiru,1
ṣīru,ṣiiru,2
ṣīru,ṣirat,3
ṣīru,ṣirti,3
ṣīru,ṣiirti₃,5
ṣīru,ṣiirtu₄,4
ṣīru,ṣirti₃,4
ṣīru,ṣirtu,2
ṣīru,ṣiirta,4
ṣīru,ṣiri₃,3
ṣīru,ṣiruti,3
ṣīru,ṣirtu₂,3
ṣīru,ṣirtu₄,3
ṣīru,ṣiraati,5
ṣīru,ṣi(AD)rat,7
ṣīru,ṣirata,4
ṣīru,ṣiruum,3
ṣīru,ṣiiruumma,6
ṣīru,ṣirutu₂,4
ṣīru,ṣirtu₄ma,5
ṣīru,ṣirati,4
ṣīru,ṣira,2
ṣīru,ṣirum,2
ṣīru,ṣirte,3
ṣīru,ṣiraat,4
ṣīru,ṣiraatu₄,5
ṣīru,MAH₂,4
šēpu,GIR₃MINšu₂,9
šēpu,GIR₃,4
šēpu,GIR₃MEŠšu,8
šēpu,GIR₃šu,5
šēpu,GIR₂MINšu₂,9
šēpu,šepuuššu,5
šēpu,GIR₃.MIN,8
šēpu,GIR₃šu₂,6
šēpu,GIR₃+MIN,8
šēpu,GIR₃+MINšu₂,10
šēpu,GIRI₃,5
šēpu,GIR₃.IIšu₂,9
šēpu,šepi,2
šēpu,GIR₃MEŠšu₂,9
šēpu,GIR₃MIN,7
šēpu,GIRI₃šu₂,7
šēpu,GIR₃MEŠ,7
šēpu,GIR₃šu₂nu,7
šēpu,GIR₃MINMEŠšu₂,12
šēpu,GIR₃ša₂,7
šēpu,GIR₃{min}šu₂,11
šēpu,šepiBI,4
šēpu,šepiia,4
šēpu,GIR₃MEŠšu₂nu,10
šēpu,GIR₂MEŠšu₂nu,10
šēpu,GIR₃MEšu₂nu,9
šēpu,šepišu₂,4
šēpu,GIR₂,4
šēpu,GIR₃MEšu₂,8
šēpu,GIR₃+MINMEŠ,11
šēpu,šeep{d}EN.ZU,10
šēpu,GIRMINia,8
šēpu,šepaaa,4
šēpu,šepišu₂nu,6
šēpu,šepiki,4
šēpu,šeep,3
šēpu,GIRI₃MINšu₂,10
šēpu,GIRI₃.MINšu₂,11
šēpu,GIR₃.MINia,10
šēpu,šeepa,3
šēpu,šeepi,3
šēpu,šeepšu₂,4
šēpu,GIR₃+MINia₂,11
šēpu,{u₂}GIR₃,8
šēpu,GIRI₃+MINšina,12
šēpu,šepuuššu₂,6
šēpu,GIR₃+MINšu₂nu,11
šēpu,šepii,3
šēpu,GIR₃.MINMEŠ,11
šēpu,GIRMIN,6
šēpu,GIR₃.MINšu₂,10
šēpu,šepašu₂,4
šēpu,šepeea,4
šēpu,GIRI₃{min}šu₂nu,13
šēpu,šepuušša₂,6
šēpu,GIR₃ka,6
šēpu,šepanušunu,7
šēpu,šepanušina,7
šēpu,GIR₃2MEŠ,8
šēpu,GIR₃{min},9
šēpu,GIR₃su₂,6
šēpu,GIR₃.2,6
šēpu,šeepu,2
šēpu,GIRI₃+MINMEŠšu₂nu,15
šēpu,GIR₃MEŠka,9
šēpu,GIR₃+MINia,10
šēpu,GIRI₃+MINšu₂,11
šēpu,GIR₃BI,6
šēpu,GIR₃ia₂,7
erṣetu,erṣetu₄,1
erṣetu,KIte,5
erṣetu,KI,6
erṣetu,KIti,5
erṣetu,KI{+ti₃},7
erṣetu,KIta,5
erṣetu,KItim,6
erṣetu,KItu₂,5
erṣetu,erṣeta,1
erṣetu,KUR,6
erṣetu,erṣeet,2
erṣetu,KItum,5
erṣetu,KIMU,6
erṣetu,KIti₃(LAM),10
erṣetu,erṣeti,1
erṣetu,erṣeessu,3
erṣetu,KItu₄,5
erṣetu,erṣeti₃,2
erṣetu,erṣetum,1
erṣetu,erṣe₂tam,3
erṣetu,erṣetim,2
erṣetu,KIsu,5
erṣetu,erṣetu,0
erṣetu,erṣetu₂,1
erṣetu,KURti₃,6
erṣetu,erṣetum₃ma,4
erṣetu,erṣete,1
erṣetu,KI.TAMEŠ,8
erṣetu,KIa,6
asakku,asakki,1
asakku,A₂.ZAG₂,7
asakku,A₂.SAG₃,7
asakku,asakka,1
asakku,AZAG,6
asakku,KU₃.AN,6
asakku,asaku,1
asakku,KUG.AN,6
asakku,asaak,2
asakku,A₂.SAG₃.GIG.GA.TA,17
šadû,{im}KUR,7
šadû,ša₂dii,3
šadû,{im}KUR.RA,10
šadû,KURu₂,5
šadû,ša₂duu₂,4
šadû,{im}3,5
šadû,IM.KUR.RA,9
šadû,KUR,4
šadû,{tum₉}KUR.RA,12
šadû,KUR.RA,6
šadû,KURMEŠ,6
šadû,šadii,2
šadû,KURa,4
šadû,{tum₉}KUR,9
šadû,KURe,4
šadû,KURMEŠni,8
šadû,ša₂(ZA)ad,7
šadû,{tu₁₅}KUR.RA,12
šadû,šadiim,3
šadû,šadaa,2
šadû,ša₂ad,3
šadû,{d}KURu₂,8
šadû,IM.3,4
šadû,{d}{im}KUR,10
šadû,šadiaam,4
šadû,šaddi,2
šadû,ša₂duu,3
šadû,kur,4
šadû,šadee,2
šadû,IM.KUR,6
šadû,KURTA,5
šadû,ša₂daa,3
šadû,KURšu₂,6
šadû,KURMEŠe,7
qarrādu,qarradii,3
qarrādu,UR.SAG,7
qarrādu,qarrad,2
qarrādu,qarradi,2
qarrādu,UR.SAGMEŠ,9
qarrādu,qarradi₃ia,5
qarrādu,qarradutiia,5
qarrādu,qarradaatu₂,5
qarrādu,UR.SAGME,8
qarrādu,qarradaku,3
qarrādu,qarraadu,2
qarrādu,UR.SAGMEŠešu₂,12
ša,ša,0
ša,ša₃,1
ša,ša₃ŠA₃šina,8
ša,ša₂salamu,7
ša,NIG₂.ŠU,7
ša,{lu₂}SAGMEŠ,11
ša,LU₂.SAGtišu₂,11
ša,ša₂(7),4
ša,sa₂,2
ša,ša₃ŠA₃ša₂,7
ša,LU₂.NIG₂.EGIR.NI,16
ša,ša(|SILA₃.UD|),12
ša,{lu₂}ša₂,6
ša,NIG₂.ŠUsu,9
ša,ša(DA),4
ša,{lu₂}ša₂UGUURU,12
ša,LU₂,3
ša,{lu₂}ša₂našišu₂,13
ša,ša-a,2
ša,ša₃ŠA₃ša₃,7
agû,AGA,3
agû,agee,2
agû,agiiaana,6
agû,agaaam,4
agû,aguu₂,3
agû,agušu,3
agû,A.GI₆.A,7
agû,agušu₂,4
agû,AGAME,5
agû,AGAMEŠ,6
agû,agaa,2
agû,agia,2
agû,AGAšu₂,6
agû,aguka,3
agû,A.GE₆.A,7
māru,DUMU,4
māru,A,4
māru,DUMUMEŠšina,11
māru,DUMUMEŠ,7
māru,DUMUMEšina,10
māru,Ašu₂,4
māru,DUMUšu₂,6
māru,mari,2
māru,GENNA,5
māru,DUMUša₂,7
māru,maari,3
māru,DUMUMEŠia,9
māru,DUMUA.NI,8
māru,DUMU.MEŠ,8
māru,DUMUMEŠšu₂,9
māru,{lu₂}A.KINME,12
māru,mariša₂,5
māru,mariia,4
māru,DUMU.ME.EŠ,10
māru,{lu₂}DUMU,9
māru,{lu₂}Ašiprišu₂,12
māru,DUMUME,6
māru,AMEŠ,4
māru,DUMU.A.NI,9
māru,maru,1
māru,mara,2
māru,Ašu₂ša₂,7
māru,DUMUMEŠša₂,10
māru,{lu₂}A.KINka,12
māru,{lu₂}AKIN,9
māru,{lu₂}AKINMEŠ,12
māru,DUMU.ME,7
māru,{lu₂}KIN.GI₄.A,14
māru,DUMUMEŠkina,11
māru,DUMU.MUNUS.MEŠkina,18
māru,maraki,4
māru,marašu₂,4
māru,DUMU.DUMU,9
māru,{lu₂}A.KINšu₂,12
māru,maar₂,3
māru,{lu₂}DUMUDU₃u₂tu₂,16
māru,HIBIZšina,9
māru,{lu₂}A.KIN,10
māru,DUMUka,6
māru,maaru,2
māru,DUMUšu,5
māru,{lu₂}DUMUMEŠ,12
māru,marimi,4
māru,DUMUmeeš,7
māru,DUMU{uru}NINA,11
māru,maraša₂,5
māru,maar,3
māru,DUMUMEŠšu₂nu,11
māru,AME,4
māru,marašu,3
māru,marušu,3
māru,maraam,4
māru,marum,2
māru,maruti,3
māru,marišu,3
māru,maraamma,6
māru,AMAR,4
māru,A.MEŠ,5
māru,DUMUMEŠea,9
māru,DUMUMES,7
māru,DUMUMEŠkunu,10
māru,{lu₂}DUMUšipri,13
māru,DUMUMEŠšu,8
māru,DUMUkaama,9
māru,DUMU+ša₂,8
māru,marušu₂,4
māru,DUMUša,6
māru,DUMU.DUMUMEŠšu₂,14
māru,TURša₂,6
māru,marišu₂,4
māru,ma(ZU)ri,6
māru,DUMUia,6
māru,Aša₂,4
māru,TURMEšina,9
māru,marukunuma,7
kīma,GIM,4
kīma,GIN₇,4
kīma,LIBIR.RA.BI.GIM,15
kīma,kima(GIŠ),6
kīma,GIN₇ma,4
kīma,GIMma,3
kīma,kiima,2
qarnu,SI,5
qarnu,SIMEŠšu₂,7
qarnu,SIšu₂,5
qarnu,qarnaašu₂,4
qarnu,qarnu,0
qarnu,SIMEŠ,5
qarnu,qa₂arniim,5
qarnu,SIMEšu₂,6
qarnu,qar(GAR₃)niki,9
qarnu,qarnašu₂,3
qarnu,qarranuka,4
qarnu,SIME,5
qarnu,SIšu,4
qarnu,qaannu,2
qarnu,qarnišu₂,3
qarnu,SIMEŠša₂,8
qarnu,qarne₂,2
qarnu,qarna,1
qarnu,qaraanšu₂,4
mû,AMEŠ,4
mû,A,2
mû,A.MEŠ,5
mû,mu-ú,3
mû,AMEŠšu₂,7
mû,AMEŠša₂,7
mû,Ašu₂,4
mû,AME,3
mû,A.MEŠšu₂,8
mû,A₂MEŠšu₂nu,10
mû,AMEŠki,6
mû,me-e,3
mû,muu₂,3
mû,AMEŠka,6
mû,meešu₂,5
mû,muu₂šu₂nu,8
mû,e,2
mû,AMEŠšina,8
mû,muu₂ki,5
mû,AMEŠšu₂nu,9
mû,meešu,4
mû,mu-ú-ma,6
mû,mie,2
mû,AMEŠšunuti₃,11
mû,A.A,3
mû,A.BI,4
mû,meeka,4
mû,me₂e,3
mû,Aša₂,4
mû,Aša,3
mû,AMES,4
mû,AGIN₇,5
mû,A.MES,5
bīnu,{giš}ŠINIG,10
bīnu,ŠINIG,5
bīnu,{giš}bini,7
bīnu,biin,3
bīnu,{geš}ŠINIG,10
bīnu,{giš}binu,6
bīnu,binu,1
bīnu,{giš}bina,7
bīnu,{giš}ŠINIG(NAGA),16
bīnu,biinu,2
bīnu,biinšuun,5
bīnu,{giš}binim,8
bīnu,bini,2
bīnu,{geš}bini,7
zumru,SUšu₂,5
zumru,SU,5
zumru,zumuršu₂,3
zumru,zu(SU)muršu,6
zumru,zuumrišu₂,4
zumru,zumuršu,2
zumru,zumur,2
zumru,SUMU,5
zumru,zuumriia,4
zumru,zumri,1
zumru,SUšu,4
zumru,zuumrišu,3
zumru,zuumri,2
zumru,zuumrika,4
zumru,SUia,5
zumru,zuumru,1
zumru,SUNI,5
zumru,zumuršunu,4
zumru,SUka,5
zumru,zuumra,2
zumru,zuu₂ru,2
zumru,zuu₂ri,3
zumru,zumuršu₂nu,5
zumru,SUBI,5
zumru,zuumriiš,4
zumru,zuumraam,4
zumru,SUia₅,5
zumru,zuumriia₂,5
simmu,GIG,5
simmu,siimma,2
simmu,GIGšu₂,5
simmu,GIGMEŠ,6
simmu,simmu,0
simmu,siimmu,1
simmu,siimme,2
simmu,GIG.MEŠ,7
marṣu,GIGMEŠ,6
marṣu,GIG.GA,6
marṣu,GIG,5
marṣu,LU₂.GIG,7
marṣu,marṣa,1
marṣu,{lu₂}GIG,8
marṣu,marṣaku,2
marṣu,marṣuti,2
marṣu,SA.GIG,6
marṣu,marṣu,0
marṣu,marṣu₂tim,4
marṣu,GIGBI,5
marṣu,marṣutu,2
marṣu,GIG{meš},8
marṣu,marṣati,3
marṣu,{lu₂}TU.RA,10
marṣu,marṣum,1
marṣu,GIGti,5
marṣu,GIGME,5
marṣu,GIGma,5
marṣu,GIG.GA.A.KAM₂,13
marṣu,GIGti₃,6
marṣu,marṣaati,4
marṣu,maarṣu₂,2
marṣu,marṣatu,2
marṣu,GIG.GA.KAM,10
marṣu,GIG.GA.KAM₂,11
marṣu,marṣatuš,3
marṣu,marṣuma,2
apu,apii,2
apu,GIŠ.GI,6
apu,apu,0
apu,apišuma,4
apu,{giš}GI,7
apu,apiim,3
apu,apa,1
apu,GIŠ.GIMEŠ,9
apu,api₂,2
apu,api₂i,3
išātu,IZI,5
išātu,iša₂ti,3
išātu,iša₂tu₄,3
išātu,išaat,3
išātu,iša₂tamma,6
išātu,iša₂tu,2
išātu,iša₂tu₂,3
išātu,NE,5
išātu,iša₂tuumma,6
išātu,iša₂atam,5
išātu,iša₂ta,3
išātu,išat,2
išātu,iša₂at,4
išātu,išatum,2
išātu,iša₂ti₃,4
šamû,ANu₂,4
šamû,AN,4
šamû,šamee,2
šamû,ša₂mami,4
šamû,ša₂muu₂,4
šamû,šamuu₂,3
šamû,ša₂mee,3
šamû,šamu,1
šamû,šamešaam,5
šamû,šamaia,3
šamû,GIŠ{+ANu₂},10
šamû,ša₂maʾi,4
šamû,ANMEŠ,5
šamû,IN.ŠI.IN.SA₁₀,13
dāmu,MUD₂,4
dāmu,MUD₂UR.MAH,10
dāmu,UŠ₂,4
dāmu,damušu₂nu,6
dāmu,MUD₂MEŠša₂,10
dāmu,MUD,4
dāmu,MUD₂MEŠ,7
dāmu,dama,2
dāmu,dami,2
dāmu,damušu₂,4
dāmu,MUD₂MEŠšu₂,9
dāmu,MUD₂šu₂,6
dāmu,damišu,3
dāmu,MUD₂kama,7
dāmu,dame,2
dāmu,damešu₂,4
dāmu,daami,3
dāmu,daama,3
dāmu,damišu₂,4
dāmu,daame,3
dāmu,MUD₂ša₂,7
qerbetu,qerbetsu,1
qerbetu,qerbaati,3
qerbetu,qerbatu₄ka,4
qerbetu,qerbe₂ti,2
qerbetu,qerbeetu₄,2
qerbetu,qerbe₂te,2
qerbetu,qerbe₂tu₄,2
qerbetu,qe₂erbe₂ti,4
qerbetu,qarbati₃,4
qerbetu,qarbaati₃,5
inanna,i-na-an-na,4
inanna,na-an-na,4
inanna,eninni,3
inanna,inanna₂,1
inanna,i{d}nanna{+na}ma,10
inanna,na-an,4
inanna,i-na-an,4
inanna,an-na,3
inanna,enenna,2
inanna,i{d}nannama,5
inanna,inaannama,3
eqlu,A.ŠA₃,5
eqlu,A.ŠA₃ša₂,8
eqlu,A.ŠA₃liim,8
eqlu,A.ŠA₃lam,7
eqlu,GANA₂,5
eqlu,A.ŠA₃.GA,8
eqlu,A.ŠA₃{liim},10
eqlu,GAN₂,4
eqlu,A.ŠA₃am,7
eqlu,A.ŠA₃im,7
eqlu,A.ŠA₃el,7
eqlu,A.ŠA₃lim,7
eqlu,eqlika,3
eqlu,A.ŠA₃šu₂,7
eqlu,A.ŠA₃šu,6
eqlu,eqli,1
eqlu,gana₂,5
eqlu,A.ŠAG₄,6
eqlu,A.ŠA₃MEŠ,8
eqlu,eqilšu₂,3
eqlu,A.ŠA₃li,6
eqlu,A.ŠA₃šu₂nu,9
eqlu,A.ŠA₃.MEŠ,9
eqlu,A.ŠA₃MU,7
idrānu,idranu,1
idrānu,KI.NE,6
idrānu,idrana,2
idrānu,idranaatu₄,5
idrānu,MUN.KI.NE.RA,12
ṣalmu,ṣalmat,2
ṣalmu,ALAM,5
ṣalmu,GI₆,5
ṣalmu,GI₆at,5
ṣalmu,NUMEŠ,5
ṣalmu,GI₆MEŠ,6
ṣalmu,NU.MEŠMU,8
ṣalmu,GE₆MEŠ,6
ṣalmu,ṣalamšu₂,3
ṣalmu,NU,5
ṣalmu,GE₆,5
ṣalmu,GE₂,5
ṣalmu,{d}ṣalam,5
ṣalmu,ṣalimtu₄,3
ṣalmu,ṣalam,2
ṣalmu,GE₆at,5
ṣalmu,ALAN,5
ṣalmu,GI₆šu₂,5
ṣalmu,NUMEŠšu₂nu,9
ṣalmu,ALAMMEŠ,7
ṣalmu,NU{meš},6
ṣalmu,NUMEŠšu₂,7
ṣalmu,MI,5
ṣalmu,ṣalmutu₂,3
ṣalmu,NUšu₂,5
ṣalmu,GE₆at₂,6
ṣalmu,NUMEŠMU,7
ṣalmu,ṣalmi,1
ṣalmu,ṣalamšu,2
ṣalmu,ṣalma,1
ṣalmu,ṣalimtu₂,3
ṣalmu,GI₆ma,4
ṣalmu,ṣalimta,3
ṣalmu,NU.MEŠšu₂nu,10
ṣalmu,GIG₂,5
ṣalmu,NU.MEŠ,6
ṣalmu,ṣulummat,5
matīma,U₄.KUR₂.ŠE₃,11
matīma,matiima,2
išdu,irdi,2
išdu,SUHUŠša₂,7
išdu,SUHUŠMEŠša₂,10
išdu,SUHUŠ,5
išdu,išdi,1
išdu,SUHUŠsu,6
išdu,AN.UR₂,6
išdu,išdiia,3
išdu,SUHUŠMEŠ,8
išdu,SUHUŠsa₃,8
išdu,SUHUŠMEŠšu₂,10
išdu,SUHUŠBI,7
išdu,išdaašu₂,4
išdu,SUHUŠšu₂,7
išdu,UŠda,3
išdu,išdu,0
išdu,SUHUŠšu₂nu,8
išdu,SUHUŠsunu,8
išdu,UR₂,4
išdu,išdiša₂,4
išdu,ilda,2
išdu,išidsu,2
išdu,{uzu}NU.UR₂MEŠšu₂,16
išdu,SUHUŠaan,8
išdu,SUHUŠša,7
išdu,išdišu₂,3
išdu,išdišu,2
išdu,išid{+id}su,7
ṣarāpu,u₂ṣarripanni,8
ṣarāpu,ṣarapi,2
ṣarāpu,ṣarpu,1
ṣarāpu,u₂ṣarapšu₂,5
ṣarāpu,u₂ṣarrapsu,5
ṣarāpu,ṣarpat,3
ṣarāpu,ṣirpa,3
ṣarāpu,u₂ṣarrapšu₂,6
ṣarāpu,u₂ṣarrap,5
ṣarāpu,uṣṣarripu,4
ṣarāpu,ṣu₂urrupu,5
ṣarāpu,tuṣarripišu,6
ṣarāpu,ṣurrupat,5
ṣarāpu,iṣarrap,4
lū,lu,1
lū,luu₂,3
lū,lu₂u₂,4
ṭuppu,IMMEŠ,5
ṭuppu,IM,5
ṭuppu,tuppi,2
ṭuppu,tuppu,1
ṭuppu,ṭuppaani,4
ṭuppu,IM.DUB,6
ṭuppu,DUBMEŠ,6
ṭuppu,ṭuppi,1
ṭuppu,ṭuppi₂,2
ṭuppu,DUBMEŠni,8
ṭuppu,tuppaani,5
ṭuppu,{im}DUB,7
ṭuppu,DUB.3.KAM₂,10
ṭuppu,ṭuppu,0
ṭuppu,{na₄}DUB,8
ṭuppu,ṭu₂paam,4
ṭuppu,DUBpi,4
ṭuppu,tuppaam,4
ṭuppu,DUB{pi₂},7
ṭuppu,ṭu₂pi₂,3
ṭuppu,tuppika,4
ṭuppu,DUB.MEŠni,9
ṭuppu,tuppiia,4
ṭuppu,tuppi₂,3
ṭuppu,tup(KID)puma,8
ṭuppu,DUB.4.KAM,9
ṭuppu,tuuppi,3
ṭuppu,tuuppiia,5
ṭuppu,DUBpaam,6
ṭuppu,DUBpi₂,5
ṭuppu,DUB.1.KAM,9
ṭuppu,DUB.2.KAM,9
ṭuppu,DUB.3.KAM,9
ṭuppu,DUB.5.KAM,9
ṭuppu,DUB.6.KAM,9
ṭuppu,DUB.7.KAM,9
ṭuppu,DUB.8.KAM,9
ṭuppu,DUB.9.KAM,9
ṭuppu,DUB.10.KAM,10
ṭuppu,DUB.11.KAM,10
ṭuppu,DUB.12.KAM,10
ṭuppu,DUB.13.KAM,10
ṭuppu,DUB.15.KAM,10
ṭuppu,DUB.16.KAM,10
ṭuppu,DUB.17.KAM,10
ṭuppu,DUBpi₃im,7
ṭuppu,tuppa,2
ṭuppu,ṭuppa₂am,4
ṭuppu,ṭuppani,3
ṭuppu,tuuppaam,5
ṭuppu,ṭuppe₃e,3
ṭuppu,tuppani,4
ṭuppu,ṭuppa,1
ṭuppu,DUB.6.KAM₂.MA,13
ṭuppu,ṭu₂pi₂šu,4
ṭuppu,DUBani,6
ṭuppu,ṭuppišu,2
ṭuppu,DUB.6.KAM₂,10
ṭuppu,DUB.7.KAM₂,10
ṭuppu,DUB.9.KAM₂,10
ṭuppu,DUB{pa₂}ka,9
ṭuppu,ṭuppi₂im,4
mūdû,muduu,3
mūdû,muduu₂,4
mūdû,mudušu₂,5
mūdû,ZUu,4
mūdû,ZUšu₂,5
mūdû,mudee,3
mūdû,ZUa,4
mūdû,ZU.A,4
mūdû,muditum,5
mūdû,muduka,4
mūdû,mudata,4
mūdû,ZUu₂,4
mūdû,ZU,4
mūdû,ZUe,4
mūdû,mudutu₄,5
mūdû,muteti,5
mūdû,mude,2
mūdû,mudašu,4
mūdû,mudaat,4
qablītu,MURUB₄,7
qablītu,MURUB₄ti,7
qablītu,MURUB₄ti₃,8
qablītu,EN.NUN.MURUB₄,13
qablītu,MURUB₄.BA,9
qablītu,MURUB₄tu₄,7
qablītu,MURUB₄MEŠ,9
qablītu,qabliti,2
qablītu,qa₂abliatim,6
qablītu,MURUB₄MEŠšu₂,11
qablītu,MURUB₄šu₂,8
qablītu,qaabliti,3
qablītu,MURUB₄te,7
inūšu,inušu₂,2
inūšu,enušu,2
palāsu,IGI.BARannima,12
palāsu,naplisma,5
palāsu,ippalissuma,6
palāsu,IGI.BARMEŠsašu₂,13
palāsu,ippaliisma,6
palāsu,IGI.BAR,7
palāsu,IGIsi,5
palāsu,naplisiinnima,10
palāsu,IGI.BARma,9
palāsu,IGI.BARka,9
palāsu,naplisinni,7
palāsu,napluus,5
palāsu,ippalsu,3
palāsu,lippalis,5
palāsu,ip(ŠAB#)palsima,12
palāsu,naplisi,4
palāsu,ip₂palsušu₂nutima,13
palāsu,ippalisma,5
palāsu,naplisanni,7
palāsu,IGI.BARsuma,9
palāsu,ippalsušu₂nutu₂,11
palāsu,ippallasu,4
palāsu,itaplasi,5
palāsu,appalasa₃kum,7
palāsu,napliis,5
palāsu,ippaliissima,8
palāsu,ippaliis₂su₂ma,9
palāsu,naplisaanni,8
palāsu,naplusika,6
palāsu,tappallasu,5
palāsu,naplisiannima,10
palāsu,ippalissima,7
palāsu,naplisannima,9
palāsu,naplusi,4
palāsu,naplusu,3
palāsu,naplisinnima,9
palāsu,attanaplisa,8
palāsu,tappalasi,5
palāsu,naplisaannima,10
palāsu,napliissuma,7
palāsu,tappalaas₃ma,8
palāsu,ippalis,4
palāsu,IGI.BARMEŠšu₂ma,14
palāsu,IGI.BARMEŠa,11
inūma,U₄ma,3
inūma,U₄,5
inūma,inuma,1
inūma,inuu₂ma,3
inūma,UDma,3
inūma,UD,5
tību,ZI,4
tību,tibu,1
