lemma, CV, distance
bēlu I,{lu₂}ENMEŠ,9
bēlu I,LUGAL,6
bēlu I,beli₂ša,5
bēlu I,beelu,4
bēlu I,EN.E,6
bēlu I,beli₂ia₃,6
bēlu I,beelni,5
bēlu I,ENani,6
bēlu I,{m}ENKURua,10
ana I,ina,3
ana I,an,3
ana I,a,4
ana I,amala₂,4
ana I,aṣṣeriia,7
ana I,{m}ana,5
ana I,DIŠ,5
ana I,akunušiimma,9
ana I,ŠE₃,5
ana I,ana(ina),5
ana I,aqa₂ti₂,5
ana I,{a}ana,4
ana I,ana₂,2
ana I,ZAG.TIL.LA.BI.ŠE₃,16
ana I,ša₂,4
ana I,U₄.KUR.ŠE₃,10
ana I,aṣeer,4
ana I,NIG₂.ZU.ŠE₃,11
ana I,ana{d}600paqadi,12
tāhāzu I,ME₃,8
tāhāzu I,ME₃MEŠte,8
tāhāzu I,ME₃MEŠtu,8
tāhāzu I,tahaza,5
tāhāzu I,tahazišu₂,6
tāhāzu I,tahazu,4
tāhāzu I,tahaziia,5
tāhāzu I,ME₃ia,8
tāhāzu I,ME₃@v,8
tāhāzu I,tahazaate,6
ṣīru I,ṣiiri,5
ṣīru I,MAHMEŠ,6
ṣīru I,MAH,6
ṣīru I,ṣiru,3
ṣīru I,ṣiiru,4
ṣīru I,ṣirat,4
ṣīru I,ṣirti,4
ṣīru I,ṣiirti₃,5
ṣīru I,ṣiirtu₄,5
ṣīru I,ṣirti₃,4
ṣīru I,ṣirtu,4
ṣīru I,ṣiirta,5
ṣīru I,ṣiri₃,4
ṣīru I,ṣiruti,3
ṣīru I,ṣirtu₂,4
ṣīru I,ṣirtu₄,4
ṣīru I,ṣiraati,5
ṣīru I,ṣi(AD)rat,8
ṣīru I,ṣirata,4
ṣīru I,ṣiruum,3
ṣīru I,ṣiiruumma,6
ṣīru I,ṣirutu₂,4
ṣīru I,ṣirtu₄ma,5
ṣīru I,ṣirati,4
ṣīru I,ṣira,4
ṣīru I,ṣirum,3
ṣīru I,ṣirte,4
ṣīru I,ṣiraat,4
ṣīru I,ṣiraatu₄,6
ṣīru I,MAH₂,6
šēpu I,GIR₃MINšu₂,9
šēpu I,GIR₃,6
šēpu I,GIR₃MEŠšu,9
šēpu I,GIR₃šu,6
šēpu I,GIR₂MINšu₂,9
šēpu I,šepuuššu,5
šēpu I,GIR₃.MIN,7
šēpu I,GIR₃šu₂,7
šēpu I,GIR₃+MIN,7
šēpu I,GIR₃+MINšu₂,10
šēpu I,GIRI₃,6
šēpu I,GIR₃.IIšu₂,9
šēpu I,šepi,4
šēpu I,GIR₃MEŠšu₂,10
šēpu I,GIR₃MIN,6
šēpu I,GIRI₃šu₂,8
šēpu I,GIR₃MEŠ,7
šēpu I,GIR₃šu₂nu,8
šēpu I,GIR₃MINMEŠšu₂,12
šēpu I,GIR₃ša₂,7
šēpu I,GIR₃{min}šu₂,12
šēpu I,šepiBI,3
šēpu I,šepiia,4
šēpu I,GIR₃MEŠšu₂nu,11
šēpu I,GIR₂MEŠšu₂nu,11
šēpu I,GIR₃MEšu₂nu,10
šēpu I,šepišu₂,5
šēpu I,GIR₂,6
šēpu I,GIR₃MEšu₂,9
šēpu I,GIR₃+MINMEŠ,10
šēpu I,šeep{d}EN.ZU,10
šēpu I,GIRMINia,8
šēpu I,šepaaa,4
šēpu I,šepišu₂nu,6
šēpu I,šepiki,4
šēpu I,šeep,5
šēpu I,GIRI₃MINšu₂,10
šēpu I,GIRI₃.MINšu₂,11
šēpu I,GIR₃.MINia,9
šēpu I,šeepa,5
šēpu I,šeepi,5
šēpu I,šeepšu₂,5
šēpu I,GIR₃+MINia₂,10
šēpu I,{u₂}GIR₃,7
šēpu I,GIRI₃+MINšina,12
šēpu I,šepuuššu₂,6
šēpu I,GIR₃+MINšu₂nu,12
šēpu I,šepii,4
šēpu I,GIR₃.MINMEŠ,10
šēpu I,GIRMIN,6
šēpu I,GIR₃.MINšu₂,10
šēpu I,šepašu₂,5
šēpu I,šepeea,4
šēpu I,GIRI₃{min}šu₂nu,14
šēpu I,šepuušša₂,6
šēpu I,GIR₃ka,6
šēpu I,šepanušunu,7
šēpu I,šepanušina,7
šēpu I,GIR₃2MEŠ,8
šēpu I,GIR₃{min},9
šēpu I,GIR₃su₂,7
šēpu I,GIR₃.2,6
šēpu I,šeepu,4
šēpu I,GIRI₃+MINMEŠšu₂nu,16
šēpu I,GIR₃MEŠka,9
šēpu I,GIR₃+MINia,9
šēpu I,GIRI₃+MINšu₂,11
šēpu I,GIR₃BI,5
šēpu I,GIR₃ia₂,7
erṣetu I,erṣetu₄,2
erṣetu I,KIte,7
erṣetu I,KI,7
erṣetu I,KIti,7
erṣetu I,KI{+ti₃},7
erṣetu I,KIta,7
erṣetu I,KItim,7
erṣetu I,KItu₂,6
erṣetu I,erṣeta,3
erṣetu I,KUR,8
erṣetu I,erṣeet,4
erṣetu I,KItum,6
erṣetu I,KIMU,8
erṣetu I,KIti₃(LAM),10
erṣetu I,erṣeti,3
erṣetu I,erṣeessu,4
erṣetu I,KItu₄,6
erṣetu I,erṣeti₃,3
erṣetu I,erṣetum,2
erṣetu I,erṣe₂tam,4
erṣetu I,erṣetim,3
erṣetu I,KIsu,7
erṣetu I,erṣetu,2
erṣetu I,erṣetu₂,2
erṣetu I,KURti₃,7
erṣetu I,erṣetum₃ma,4
erṣetu I,erṣete,3
erṣetu I,KI.TAMEŠ,8
erṣetu I,KIa,8
asakku I,asakki,3
asakku I,A₂.ZAG₂,8
asakku I,A₂.SAG₃,8
asakku I,asakka,3
asakku I,KU₃.AN,8
asakku I,asaku,3
asakku I,A₂.SAG₃.GIG.GA.TA,16
šadû I,ša₂dii,4
šadû I,{im}KUR.RA,10
šadû I,KURu₂,6
šadû I,KUR,6
šadû I,ša₂duu₂,4
šadû I,KUR.RA,6
šadû I,KURMEŠ,6
šadû I,šadii,3
šadû I,KURa,6
šadû I,{tum₉}KUR,9
šadû I,KURe,6
šadû I,KURMEŠni,8
šadû I,ša₂(ZA)ad,7
šadû I,šadiim,3
šadû I,šadaa,3
šadû I,ša₂ad,4
šadû I,{d}KURu₂,8
šadû I,šadiaam,4
šadû I,šaddi,3
šadû I,ša₂duu,4
šadû I,kur,6
šadû I,KURTA,6
šadû I,ša₂daa,4
šadû I,KURšu₂,6
šadû I,KURMEŠe,7
qarrādu I,qarradii,4
qarrādu I,UR.SAG,9
qarrādu I,qarrad,4
qarrādu I,qarradi,4
qarrādu I,UR.SAGMEŠ,9
qarrādu I,qarradi₃ia,5
qarrādu I,qarradutiia,5
qarrādu I,qarradaatu₂,6
qarrādu I,UR.SAGME,9
qarrādu I,qarradaku,4
qarrādu I,qarraadu,4
qarrādu I,UR.SAGMEŠešu₂,13
ša I,ša,2
ša I,ša₃,2
ša I,ša₃ŠA₃šina,8
ša I,ša₂salamu,7
ša I,NIG₂.ŠU,7
ša I,{lu₂}SAGMEŠ,11
ša I,LU₂.SAGtišu₂,12
ša I,ša₂(7),4
ša I,sa₂,3
ša I,ša₃ŠA₃ša₂,7
ša I,LU₂.NIG₂.EGIR.NI,15
ša I,ša(|SILA₃.UD|),11
ša I,{lu₂}ša₂,7
ša I,NIG₂.ŠUsu,9
ša I,ša(DA),4
ša I,{lu₂}ša₂UGUURU,12
ša I,LU₂,4
ša I,{lu₂}ša₂našišu₂,13
ša I,ša₃ŠA₃ša₃,7
agû I,AGA,5
agû I,agee,3
agû I,agiiaana,6
agû I,agaaam,4
agû I,aguu₂,3
agû I,agušu₂,4
agû I,AGAME,5
agû I,AGAMEŠ,6
agû I,agaa,3
agû I,AGAšu₂,6
agû I,aguka,3
māru I,DUMU,6
māru I,A,6
māru I,DUMUMEŠšina,11
māru I,DUMUMEŠ,7
māru I,DUMUMEšina,10
māru I,Ašu₂,5
māru I,DUMUšu₂,7
māru I,mari,4
māru I,GENNA,6
māru I,DUMUša₂,7
māru I,maari,5
māru I,DUMUMEŠia,9
māru I,DUMUA.NI,7
māru I,DUMU.MEŠ,8
māru I,DUMUMEŠšu₂,10
māru I,{lu₂}A.KINME,11
māru I,mariša₂,5
māru I,mariia,4
māru I,DUMU.ME.EŠ,10
māru I,{lu₂}DUMU,9
māru I,{lu₂}Ašiprišu₂,13
māru I,DUMUME,6
māru I,AMEŠ,6
māru I,DUMU.A.NI,8
māru I,maru,3
māru I,mara,4
māru I,Ašu₂ša₂,7
māru I,DUMUMEŠša₂,10
māru I,{lu₂}A.KINka,11
māru I,{lu₂}AKIN,8
māru I,{lu₂}AKINMEŠ,11
māru I,DUMU.ME,7
māru I,{lu₂}KIN.GI₄.A,13
māru I,DUMUMEŠkina,11
māru I,DUMU.MUNUS.MEŠkina,18
māru I,maraki,4
māru I,marašu₂,5
māru I,DUMU.DUMU,9
māru I,{lu₂}A.KINšu₂,12
māru I,maar₂,5
māru I,{lu₂}DUMUDU₃u₂tu₂,16
māru I,HIBIZšina,9
māru I,{lu₂}A.KIN,9
māru I,DUMUka,6
māru I,maaru,4
māru I,DUMUšu,6
māru I,{lu₂}DUMUMEŠ,12
māru I,marimi,4
māru I,DUMUmeeš,8
māru I,DUMU{uru}NINA,10
māru I,maraša₂,5
māru I,maar,5
māru I,DUMUMEŠšu₂nu,11
māru I,AME,6
māru I,marašu,4
māru I,marušu,3
māru I,maraam,4
māru I,marum,3
māru I,maruti,3
māru I,marišu,4
māru I,maraamma,6
māru I,AMAR,6
māru I,A.MEŠ,6
māru I,DUMUMEŠea,9
māru I,DUMUMES,7
māru I,DUMUMEŠkunu,10
māru I,{lu₂}DUMUšipri,14
māru I,DUMUMEŠšu,9
māru I,DUMUkaama,9
māru I,DUMU+ša₂,8
māru I,marušu₂,4
māru I,DUMUša,6
māru I,DUMU.DUMUMEŠšu₂,15
māru I,TURša₂,6
māru I,marišu₂,5
māru I,ma(ZU)ri,7
māru I,DUMUia,6
māru I,Aša₂,6
māru I,TURMEšina,9
māru I,marukunuma,7
kīma I,GIM,6
kīma I,GIN₇,6
kīma I,LIBIR.RA.BI.GIM,14
kīma I,kima(GIŠ),5
kīma I,GIN₇ma,6
kīma I,GIMma,5
kīma I,kiima,4
qarnu I,SI,6
qarnu I,SIMEŠšu₂,8
qarnu I,SIšu₂,6
qarnu I,qarnaašu₂,5
qarnu I,qarnu,2
qarnu I,SIMEŠ,7
qarnu I,qa₂arniim,5
qarnu I,SIMEšu₂,7
qarnu I,qar(GAR₃)niki,9
qarnu I,qarnašu₂,4
qarnu I,qarranuka,4
qarnu I,SIME,7
qarnu I,SIšu,6
qarnu I,qaannu,4
qarnu I,qarnišu₂,4
qarnu I,SIMEŠša₂,8
qarnu I,qarne₂,3
qarnu I,qarna,3
qarnu I,qaraanšu₂,5
mû I,AMEŠ,4
mû I,A,4
mû I,A.MEŠ,5
mû I,AMEŠšu₂,7
mû I,AMEŠša₂,7
mû I,Ašu₂,4
mû I,AME,4
mû I,A.MEŠšu₂,8
mû I,A₂MEŠšu₂nu,10
mû I,AMEŠki,6
mû I,muu₂,3
mû I,AMEŠka,6
mû I,meešu₂,5
mû I,muu₂šu₂nu,8
mû I,AMEŠšina,8
mû I,muu₂ki,5
mû I,AMEŠšu₂nu,9
mû I,meešu,4
mû I,mie,3
mû I,AMEŠšunuti₃,11
mû I,A.A,4
mû I,A.BI,3
mû I,me₂e,3
mû I,Aša₂,4
mû I,Aša,4
mû I,AMES,4
mû I,AGIN₇,5
mû I,A.MES,5
bīnu II,{giš}ŠINIG,8
bīnu II,ŠINIG,6
bīnu II,{giš}bini,9
bīnu II,{geš}ŠINIG,8
bīnu II,{giš}binu,9
bīnu II,binu,4
bīnu II,{giš}bina,9
bīnu II,{giš}ŠINIG(NAGA),14
bīnu II,biinu,5
bīnu II,{giš}binim,10
bīnu II,bini,5
bīnu II,{geš}bini,9
zumru I,SUšu₂,6
zumru I,SU,7
zumru I,zumuršu₂,4
zumru I,zu(SU)muršu,8
zumru I,zuumrišu₂,5
zumru I,zumuršu,4
zumru I,zumur,3
zumru I,SUMU,7
zumru I,zuumriia,4
zumru I,zumri,3
zumru I,SUšu,6
zumru I,zuumrišu,4
zumru I,zuumri,4
zumru I,zuumrika,4
zumru I,SUia,7
zumru I,zuumru,3
zumru I,SUNI,6
zumru I,zumuršunu,4
zumru I,SUka,7
zumru I,zuumra,4
zumru I,zuu₂ru,4
zumru I,zuu₂ri,5
zumru I,zumuršu₂nu,5
zumru I,SUBI,6
zumru I,zuumriiš,4
zumru I,zuumraam,4
zumru I,SUia₅,7
zumru I,zuumriia₂,5
simmu I,GIG,7
simmu I,siimma,4
simmu I,GIGšu₂,6
simmu I,GIGMEŠ,7
simmu I,simmu,2
simmu I,siimmu,3
simmu I,siimme,4
simmu I,GIG.MEŠ,7
marṣu I,GIGMEŠ,7
marṣu I,GIG.GA,7
marṣu I,GIG,7
marṣu I,LU₂.GIG,7
marṣu I,marṣa,3
marṣu I,{lu₂}GIG,7
marṣu I,marṣaku,3
marṣu I,marṣuti,2
marṣu I,SA.GIG,7
marṣu I,marṣu,2
marṣu I,marṣu₂tim,4
marṣu I,GIGBI,6
marṣu I,marṣutu,2
marṣu I,GIG{meš},8
marṣu I,marṣati,3
marṣu I,{lu₂}TU.RA,10
marṣu I,marṣum,2
marṣu I,GIGti,7
marṣu I,GIGME,7
marṣu I,GIGma,7
marṣu I,GIG.GA.A.KAM₂,13
marṣu I,GIGti₃,7
marṣu I,marṣaati,4
marṣu I,maarṣu₂,3
marṣu I,marṣatu,3
marṣu I,GIG.GA.KAM,10
marṣu I,GIG.GA.KAM₂,11
marṣu I,marṣatuš,4
marṣu I,marṣuma,2
apu I,apii,3
apu I,GIŠ.GI,5
apu I,apu,2
apu I,apišuma,4
apu I,{giš}GI,6
apu I,apiim,3
apu I,apa,3
apu I,GIŠ.GIMEŠ,8
apu I,api₂,3
apu I,api₂i,3
išātu I,IZI,6
išātu I,iša₂ti,5
išātu I,iša₂tu₄,4
išātu I,išaat,5
išātu I,iša₂tamma,6
išātu I,iša₂tu,4
išātu I,iša₂tu₂,4
išātu I,NE,7
išātu I,iša₂tuumma,6
išātu I,iša₂atam,6
išātu I,iša₂ta,5
išātu I,išat,4
išātu I,iša₂at,5
išātu I,išatum,3
išātu I,iša₂ti₃,5
šamû I,AN,6
šamû I,šamee,3
šamû I,ANu₂,6
šamû I,ša₂mami,4
šamû I,ša₂muu₂,4
šamû I,šamuu₂,3
šamû I,ša₂mee,4
šamû I,šamu,3
šamû I,šamešaam,5
šamû I,šamaia,3
šamû I,GIŠ{+ANu₂},10
šamû I,ša₂maʾi,4
šamû I,ANMEŠ,6
šamû I,IN.ŠI.IN.SA₁₀,12
dāmu I,MUD₂,6
dāmu I,MUD₂UR.MAH,10
dāmu I,UŠ₂,6
dāmu I,damušu₂nu,6
dāmu I,MUD₂MEŠša₂,10
dāmu I,MUD,6
dāmu I,MUD₂MEŠ,7
dāmu I,dama,4
dāmu I,dami,4
dāmu I,damušu₂,4
dāmu I,MUD₂MEŠšu₂,10
dāmu I,MUD₂šu₂,7
dāmu I,damišu,4
dāmu I,MUD₂kama,8
dāmu I,dame,4
dāmu I,damešu₂,5
dāmu I,daami,5
dāmu I,daama,5
dāmu I,damišu₂,5
dāmu I,daame,5
dāmu I,MUD₂ša₂,7
qerbetu I,qerbetsu,3
qerbetu I,qerbaati,5
qerbetu I,qerbatu₄ka,4
qerbetu I,qerbe₂ti,4
qerbetu I,qerbeetu₄,3
qerbetu I,qerbe₂te,4
qerbetu I,qerbe₂tu₄,3
qerbetu I,qe₂erbe₂ti,6
qerbetu I,qarbati₃,5
qerbetu I,qarbaati₃,6
inanna I,eninni,5
inanna I,inanna₂,2
inanna I,i{d}nanna{+na}ma,10
inanna I,enenna,4
inanna I,i{d}nannama,5
inanna I,inaannama,3
eqlu I,A.ŠA₃,6
eqlu I,A.ŠA₃ša₂,8
eqlu I,A.ŠA₃liim,8
eqlu I,A.ŠA₃lam,8
eqlu I,GANA₂,6
eqlu I,A.ŠA₃.GA,8
eqlu I,A.ŠA₃{liim},10
eqlu I,GAN₂,6
eqlu I,A.ŠA₃am,7
eqlu I,A.ŠA₃im,7
eqlu I,A.ŠA₃el,7
eqlu I,A.ŠA₃lim,8
eqlu I,eqlika,3
eqlu I,A.ŠA₃šu₂,8
eqlu I,A.ŠA₃šu,7
eqlu I,eqli,3
eqlu I,gana₂,6
eqlu I,A.ŠAG₄,6
eqlu I,A.ŠA₃MEŠ,8
eqlu I,eqilšu₂,4
eqlu I,A.ŠA₃li,7
eqlu I,A.ŠA₃šu₂nu,9
eqlu I,A.ŠA₃.MEŠ,9
eqlu I,A.ŠA₃MU,7
idrānu I,idranu,3
idrānu I,KI.NE,8
idrānu I,idrana,4
idrānu I,idranaatu₄,6
idrānu I,MUN.KI.NE.RA,12
ṣalmu I,ṣalmat,3
ṣalmu I,GI₆,7
ṣalmu I,GI₆at,7
ṣalmu I,GI₆MEŠ,7
ṣalmu I,GE₆MEŠ,7
ṣalmu I,GE₆,7
ṣalmu I,GE₂,7
ṣalmu I,ṣalimtu₄,4
ṣalmu I,GE₆at,7
ṣalmu I,GI₆šu₂,6
ṣalmu I,MI,6
ṣalmu I,ṣalmutu₂,3
ṣalmu I,GE₆at₂,7
ṣalmu I,ṣalma,3
ṣalmu I,ṣalimtu₂,4
ṣalmu I,GI₆ma,6
ṣalmu I,ṣalimta,4
ṣalmu I,GIG₂,7
ṣalmu I,ṣulummat,5
matīma I,U₄.KUR₂.ŠE₃,11
matīma I,matiima,4
išdu I,irdi,4
išdu I,SUHUŠša₂,8
išdu I,SUHUŠMEŠša₂,11
išdu I,SUHUŠ,6
išdu I,išdi,3
išdu I,SUHUŠsu,7
išdu I,AN.UR₂,6
išdu I,išdiia,3
išdu I,SUHUŠMEŠ,8
išdu I,SUHUŠsa₃,8
išdu I,SUHUŠMEŠšu₂,11
išdu I,SUHUŠBI,6
išdu I,išdaašu₂,5
išdu I,SUHUŠšu₂,8
išdu I,UŠda,5
išdu I,išdu,2
išdu I,SUHUŠšu₂nu,9
išdu I,SUHUŠsunu,8
išdu I,UR₂,6
išdu I,išdiša₂,4
išdu I,ilda,4
išdu I,išidsu,4
išdu I,{uzu}NU.UR₂MEŠšu₂,16
išdu I,SUHUŠaan,8
išdu I,SUHUŠša,7
išdu I,išdišu₂,4
išdu I,išdišu,3
išdu I,išid{+id}su,8
ṣarāpu I,u₂ṣarripanni,8
ṣarāpu I,ṣarapi,4
ṣarāpu I,ṣarpu,3
ṣarāpu I,u₂ṣarapšu₂,6
ṣarāpu I,u₂ṣarrapsu,7
ṣarāpu I,ṣirpa,5
ṣarāpu I,u₂ṣarrapšu₂,7
ṣarāpu I,u₂ṣarrap,7
ṣarāpu I,uṣṣarripu,6
ṣarāpu I,ṣu₂urrupu,7
ṣarāpu I,tuṣarripišu,7
ṣarāpu I,ṣurrupat,6
ṣarāpu I,iṣarrap,6
lū I,lu,3
lū I,luu₂,3
lū I,lu₂u₂,4
ṭuppu I,IMMEŠ,7
ṭuppu I,IM,7
ṭuppu I,tuppi,4
ṭuppu I,tuppu,3
ṭuppu I,ṭuppaani,4
ṭuppu I,IM.DUB,7
ṭuppu I,DUBMEŠ,7
ṭuppu I,ṭuppi,3
ṭuppu I,ṭuppi₂,3
ṭuppu I,DUBMEŠni,8
ṭuppu I,tuppaani,5
ṭuppu I,{im}DUB,7
ṭuppu I,DUB.3.KAM₂,10
ṭuppu I,ṭuppu,2
ṭuppu I,{na₄}DUB,8
ṭuppu I,ṭu₂paam,4
ṭuppu I,DUBpi,6
ṭuppu I,tuppaam,4
ṭuppu I,DUB{pi₂},7
ṭuppu I,ṭu₂pi₂,4
ṭuppu I,tuppika,4
ṭuppu I,DUB.MEŠni,9
ṭuppu I,tuppiia,4
ṭuppu I,tuppi₂,4
ṭuppu I,tup(KID)puma,8
ṭuppu I,DUB.4.KAM,9
ṭuppu I,tuuppi,5
ṭuppu I,tuuppiia,5
ṭuppu I,DUBpaam,6
ṭuppu I,DUBpi₂,6
ṭuppu I,DUB.1.KAM,9
ṭuppu I,DUB.2.KAM,9
ṭuppu I,DUB.3.KAM,9
ṭuppu I,DUB.5.KAM,9
ṭuppu I,DUB.6.KAM,9
ṭuppu I,DUB.7.KAM,9
ṭuppu I,DUB.8.KAM,9
ṭuppu I,DUB.9.KAM,9
ṭuppu I,DUB.10.KAM,10
ṭuppu I,DUB.11.KAM,10
ṭuppu I,DUB.12.KAM,10
ṭuppu I,DUB.13.KAM,10
ṭuppu I,DUB.15.KAM,10
ṭuppu I,DUB.16.KAM,10
ṭuppu I,DUB.17.KAM,10
ṭuppu I,DUBpi₃im,7
ṭuppu I,tuppa,4
ṭuppu I,ṭuppa₂am,4
ṭuppu I,ṭuppani,3
ṭuppu I,tuuppaam,5
ṭuppu I,ṭuppe₃e,3
ṭuppu I,tuppani,4
ṭuppu I,ṭuppa,3
ṭuppu I,DUB.6.KAM₂.MA,13
ṭuppu I,ṭu₂pi₂šu,5
ṭuppu I,DUBani,7
ṭuppu I,ṭuppišu,3
ṭuppu I,DUB.6.KAM₂,10
ṭuppu I,DUB.7.KAM₂,10
ṭuppu I,DUB.9.KAM₂,10
ṭuppu I,DUB{pa₂}ka,9
ṭuppu I,ṭuppi₂im,4
mūdû I,muduu,4
mūdû I,muduu₂,4
mūdû I,mudušu₂,5
mūdû I,ZUu,6
mūdû I,ZUšu₂,6
mūdû I,mudee,4
mūdû I,ZUa,6
mūdû I,ZU.A,6
mūdû I,muditum,5
mūdû I,muduka,4
mūdû I,mudata,4
mūdû I,ZUu₂,6
mūdû I,ZU,6
mūdû I,ZUe,6
mūdû I,mudutu₄,5
mūdû I,muteti,5
mūdû I,mude,4
mūdû I,mudašu,4
mūdû I,mudaat,4
qablītu I,MURUB₄,9
qablītu I,MURUB₄ti,9
qablītu I,MURUB₄ti₃,9
qablītu I,EN.NUN.MURUB₄,13
qablītu I,MURUB₄.BA,9
qablītu I,MURUB₄tu₄,8
qablītu I,MURUB₄MEŠ,9
qablītu I,qabliti,4
qablītu I,qa₂abliatim,7
qablītu I,MURUB₄MEŠšu₂,12
qablītu I,MURUB₄šu₂,9
qablītu I,qaabliti,5
qablītu I,MURUB₄te,9
inūšu I,inušu₂,3
inūšu I,enušu,4
palāsu I,IGI.BARannima,13
palāsu I,naplisma,6
palāsu I,ippalissuma,6
palāsu I,IGI.BARMEŠsašu₂,14
palāsu I,ippaliisma,7
palāsu I,IGI.BAR,8
palāsu I,IGIsi,7
palāsu I,naplisiinnima,10
palāsu I,IGI.BARma,9
palāsu I,IGI.BARka,9
palāsu I,naplisinni,7
palāsu I,napluus,6
palāsu I,ippalsu,5
palāsu I,lippalis,7
palāsu I,ip(ŠAB#)palsima,12
palāsu I,naplisi,6
palāsu I,ip₂palsušu₂nutima,13
palāsu I,ippalisma,6
palāsu I,naplisanni,7
palāsu I,IGI.BARsuma,9
palāsu I,ippalsušu₂nutu₂,11
palāsu I,ippallasu,6
palāsu I,itaplasi,7
palāsu I,appalasa₃kum,8
palāsu I,napliis,7
palāsu I,ippaliissima,8
palāsu I,ippaliis₂su₂ma,9
palāsu I,naplisaanni,8
palāsu I,naplusika,6
palāsu I,tappallasu,7
palāsu I,naplisiannima,10
palāsu I,ippalissima,7
palāsu I,naplisannima,9
palāsu I,naplusi,6
palāsu I,naplusu,5
palāsu I,naplisinnima,9
palāsu I,attanaplisa,10
palāsu I,tappalasi,7
palāsu I,naplisaannima,10
palāsu I,napliissuma,7
