Lemma, CV1, CV2, distance
ana I,ana,ana(ina),5
ana I,ana,aqa₂ti₂,5
ana I,ana,{a}ana,3
ana I,ana,ana₂,1
ana I,ana,ZAG.TIL.LA.BI.ŠE₃,17
ana I,ana,ša₂,3
ana I,ana,U₄.KUR.ŠE₃,10
ana I,ana,aṣeer,4
ana I,ana,NIG₂.ZU.ŠE₃,11
ana I,ana,ana{d}600paqadi,12
tāhāzu I,tahazi,tahazi,0
tāhāzu I,tahazi,ME₃,6
tāhāzu I,tahazi,ME₃MEŠte,8
tāhāzu I,tahazi,ME₃MEŠtu,8
tāhāzu I,tahazi,tahaza,1
tāhāzu I,tahazi,tahazišu₂,3
tāhāzu I,tahazi,tahazu,1
tāhāzu I,tahazi,tahaziia,2
tāhāzu I,tahazi,ME₃ia,6
tāhāzu I,tahazi,ME₃@v,6
tāhāzu I,tahazi,tahazaate,4
ṣīru I,ṣiri,ṣiri,0
ṣīru I,ṣiri,ṣiiri,1
ṣīru I,ṣiri,MAHMEŠ,6
ṣīru I,ṣiri,MAH,4
ṣīru I,ṣiri,ṣiru,1
ṣīru I,ṣiri,ṣiiru,2
ṣīru I,ṣiri,ṣirat,2
ṣīru I,ṣiri,ṣirti,1
ṣīru I,ṣiri,ṣiirti₃,3
ṣīru I,ṣiri,ṣiirtu₄,4
ṣīru I,ṣiri,ṣirti₃,2
ṣīru I,ṣiri,ṣirtu,2
ṣīru I,ṣiri,ṣiirta,3
ṣīru I,ṣiri,ṣiri₃,1
ṣīru I,ṣiri,ṣiruti,2
ṣīru I,ṣiri,ṣirtu₂,3
ṣīru I,ṣiri,ṣirtu₄,3
ṣīru I,ṣiri,ṣiraati,3
ṣīru I,ṣiri,ṣi(AD)rat,6
ṣīru I,ṣiri,ṣirata,3
ṣīru I,ṣiri,ṣiruum,3
ṣīru I,ṣiri,ṣiiruumma,6
ṣīru I,ṣiri,ṣirutu₂,4
ṣīru I,ṣiri,ṣirtu₄ma,5
ṣīru I,ṣiri,ṣirati,2
ṣīru I,ṣiri,ṣira,1
ṣīru I,ṣiri,ṣirum,2
ṣīru I,ṣiri,ṣirte,2
ṣīru I,ṣiri,ṣiraat,3
ṣīru I,ṣiri,ṣiraatu₄,5
ṣīru I,ṣiri,MAH₂,4
šēpu I,GIR₃.MINka,GIR₃.MINka,0
šēpu I,GIR₃.MINka,GIR₃MINšu₂,4
šēpu I,GIR₃.MINka,GIR₃,6
šēpu I,GIR₃.MINka,GIR₃MEŠšu,5
šēpu I,GIR₃.MINka,GIR₃šu,6
šēpu I,GIR₃.MINka,GIR₂MINšu₂,5
šēpu I,GIR₃.MINka,šepuuššu,10
šēpu I,GIR₃.MINka,GIR₃.MIN,2
šēpu I,GIR₃.MINka,GIR₃šu₂,6
šēpu I,GIR₃.MINka,GIR₃+MIN,3
šēpu I,GIR₃.MINka,GIR₃+MINšu₂,4
šēpu I,GIR₃.MINka,GIRI₃,6
šēpu I,GIR₃.MINka,GIR₃.IIšu₂,4
šēpu I,GIR₃.MINka,šepi,10
šēpu I,GIR₃.MINka,GIR₃MEŠšu₂,6
šēpu I,GIR₃.MINka,GIR₃MIN,3
šēpu I,GIR₃.MINka,GIRI₃šu₂,7
šēpu I,GIR₃.MINka,GIR₃MEŠ,5
šēpu I,GIR₃.MINka,GIR₃šu₂nu,6
šēpu I,GIR₃.MINka,GIR₃MINMEŠšu₂,7
šēpu I,GIR₃.MINka,GIR₃ša₂,6
šēpu I,GIR₃.MINka,GIR₃{min}šu₂,8
šēpu I,GIR₃.MINka,šepiBI,9
šēpu I,GIR₃.MINka,šepiia,9
šēpu I,GIR₃.MINka,GIR₃MEŠšu₂nu,8
šēpu I,GIR₃.MINka,GIR₂MEŠšu₂nu,9
šēpu I,GIR₃.MINka,GIR₃MEšu₂nu,7
šēpu I,GIR₃.MINka,šepišu₂,10
šēpu I,GIR₃.MINka,GIR₂,7
šēpu I,GIR₃.MINka,GIR₃MEšu₂,5
šēpu I,GIR₃.MINka,GIR₃+MINMEŠ,4
šēpu I,GIR₃.MINka,šeep{d}EN.ZU,11
šēpu I,GIR₃.MINka,GIRMINia,3
šēpu I,GIR₃.MINka,šepaaa,9
šēpu I,GIR₃.MINka,šepišu₂nu,10
šēpu I,GIR₃.MINka,šepiki,9
šēpu I,GIR₃.MINka,šeep,10
šēpu I,GIR₃.MINka,GIRI₃MINšu₂,5
šēpu I,GIR₃.MINka,GIRI₃.MINšu₂,4
šēpu I,GIR₃.MINka,GIR₃.MINia,1
šēpu I,GIR₃.MINka,šeepa,9
šēpu I,GIR₃.MINka,šeepi,10
šēpu I,GIR₃.MINka,šeepšu₂,10
šēpu I,GIR₃.MINka,GIR₃+MINia₂,3
šēpu I,GIR₃.MINka,{u₂}GIR₃,9
šēpu I,GIR₃.MINka,GIRI₃+MINšina,5
šēpu I,GIR₃.MINka,šepuuššu₂,10
šēpu I,GIR₃.MINka,GIR₃+MINšu₂nu,6
šēpu I,GIR₃.MINka,šepii,10
šēpu I,GIR₃.MINka,GIR₃.MINMEŠ,3
šēpu I,GIR₃.MINka,GIRMIN,4
šēpu I,GIR₃.MINka,GIR₃.MINšu₂,3
šēpu I,GIR₃.MINka,šepašu₂,10
šēpu I,GIR₃.MINka,šepeea,9
šēpu I,GIR₃.MINka,GIRI₃{min}šu₂nu,11
šēpu I,GIR₃.MINka,šepuušša₂,10
šēpu I,GIR₃.MINka,GIR₃ka,4
šēpu I,GIR₃.MINka,šepanušunu,10
šēpu I,GIR₃.MINka,šepanušina,9
šēpu I,GIR₃.MINka,GIR₃2MEŠ,5
šēpu I,GIR₃.MINka,GIR₃{min},6
šēpu I,GIR₃.MINka,GIR₃su₂,6
šēpu I,GIR₃.MINka,GIR₃.2,5
šēpu I,GIR₃.MINka,šeepu,10
šēpu I,GIR₃.MINka,GIRI₃+MINMEŠšu₂nu,10
šēpu I,GIR₃.MINka,GIR₃MEŠka,3
šēpu I,GIR₃.MINka,GIR₃+MINia,2
šēpu I,GIR₃.MINka,GIRI₃+MINšu₂,5
šēpu I,GIR₃.MINka,GIR₃BI,5
šēpu I,GIR₃.MINka,GIR₃ia₂,6
erṣetu I,KIti₃,KIti₃,0
erṣetu I,KIti₃,erṣetu₄,6
erṣetu I,KIti₃,KIte,2
erṣetu I,KIti₃,KI,3
erṣetu I,KIti₃,KIti,1
erṣetu I,KIti₃,KI{+ti₃},3
erṣetu I,KIti₃,KIta,2
erṣetu I,KIti₃,KItim,1
erṣetu I,KIti₃,KItu₂,2
erṣetu I,KIti₃,erṣeta,6
erṣetu I,KIti₃,KUR,4
erṣetu I,KIti₃,erṣeet,6
erṣetu I,KIti₃,KItum,2
erṣetu I,KIti₃,KIMU,3
erṣetu I,KIti₃,KIti₃(LAM),5
erṣetu I,KIti₃,erṣeti,5
erṣetu I,KIti₃,erṣeessu,8
erṣetu I,KIti₃,KItu₄,2
erṣetu I,KIti₃,erṣeti₃,4
erṣetu I,KIti₃,erṣetum,6
erṣetu I,KIti₃,erṣe₂tam,7
erṣetu I,KIti₃,erṣetim,5
erṣetu I,KIti₃,KIsu,3
erṣetu I,KIti₃,erṣetu,6
erṣetu I,KIti₃,erṣetu₂,6
erṣetu I,KIti₃,KURti₃,2
erṣetu I,KIti₃,erṣetum₃ma,8
erṣetu I,KIti₃,erṣete,6
erṣetu I,KIti₃,KI.TAMEŠ,6
erṣetu I,KIti₃,KIa,3
asakku I,asakku,asakku,0
asakku I,asakku,asakki,1
asakku I,asakku,A₂.ZAG₂,7
asakku I,asakku,A₂.SAG₃,7
asakku I,asakku,asakka,1
asakku I,asakku,KU₃.AN,6
asakku I,asakku,asaku,1
asakku I,asakku,A₂.SAG₃.GIG.GA.TA,17
šadû I,KURi,KURi,0
šadû I,KURi,ša₂dii,5
šadû I,KURi,{im}KUR.RA,7
šadû I,KURi,KURu₂,2
šadû I,KURi,KUR,1
šadû I,KURi,ša₂duu₂,7
šadû I,KURi,KUR.RA,3
šadû I,KURi,KURMEŠ,3
šadû I,KURi,šadii,4
šadû I,KURi,KURa,1
šadû I,KURi,{tum₉}KUR,7
šadû I,KURi,KURe,1
šadû I,KURi,KURMEŠni,4
šadû I,KURi,ša₂(ZA)ad,9
šadû I,KURi,šadiim,5
šadû I,KURi,šadaa,5
šadû I,KURi,ša₂ad,5
šadû I,KURi,{d}KURu₂,5
šadû I,KURi,šadiaam,6
šadû I,KURi,šaddi,4
šadû I,KURi,ša₂duu,6
šadû I,KURi,kur,4
šadû I,KURi,KURTA,2
šadû I,KURi,ša₂daa,6
šadû I,KURi,KURšu₂,3
šadû I,KURi,KURMEŠe,4
qarrādu I,qarradu,qarradu,0
qarrādu I,qarradu,qarradii,2
qarrādu I,qarradu,UR.SAG,7
qarrādu I,qarradu,qarrad,1
qarrādu I,qarradu,qarradi,1
qarrādu I,qarradu,UR.SAGMEŠ,9
qarrādu I,qarradu,qarradi₃ia,4
qarrādu I,qarradu,qarradutiia,4
qarrādu I,qarradu,qarradaatu₂,4
qarrādu I,qarradu,UR.SAGME,8
qarrādu I,qarradu,qarradaku,2
qarrādu I,qarradu,qarraadu,1
qarrādu I,qarradu,UR.SAGMEŠešu₂,12
ša I,ša₂,ša₂,0
ša I,ša₂,ša,1
ša I,ša₂,ša₃,1
ša I,ša₂,ša₃ŠA₃šina,8
ša I,ša₂,ša₂salamu,6
ša I,ša₂,NIG₂.ŠU,6
ša I,ša₂,{lu₂}SAGMEŠ,10
ša I,ša₂,LU₂.SAGtišu₂,10
ša I,ša₂,ša₂(7),3
ša I,ša₂,sa₂,1
ša I,ša₂,ša₃ŠA₃ša₂,6
ša I,ša₂,LU₂.NIG₂.EGIR.NI,15
ša I,ša₂,ša(|SILA₃.UD|),12
ša I,ša₂,{lu₂}ša₂,5
ša I,ša₂,NIG₂.ŠUsu,8
ša I,ša₂,ša(DA),4
ša I,ša₂,{lu₂}ša₂UGUURU,11
ša I,ša₂,LU₂,2
ša I,ša₂,{lu₂}ša₂našišu₂,12
ša I,ša₂,ša₃ŠA₃ša₃,7
agû I,agii,agii,0
agû I,agii,AGA,4
agû I,agii,agee,2
agû I,agii,agiiaana,4
agû I,agii,agaaam,4
agû I,agii,aguu₂,3
agû I,agii,agušu₂,4
agû I,agii,AGAME,5
agû I,agii,AGAMEŠ,6
agû I,agii,agaa,2
agû I,agii,AGAšu₂,6
agû I,agii,aguka,3
māru I,mar,mar,0
māru I,mar,DUMU,4
māru I,mar,A,3
māru I,mar,DUMUMEŠšina,11
māru I,mar,DUMUMEŠ,7
māru I,mar,DUMUMEšina,10
māru I,mar,Ašu₂,4
māru I,mar,DUMUšu₂,7
māru I,mar,mari,1
māru I,mar,GENNA,5
māru I,mar,DUMUša₂,6
māru I,mar,maari,2
māru I,mar,DUMUMEŠia,9
māru I,mar,DUMUA.NI,8
māru I,mar,DUMU.MEŠ,8
māru I,mar,DUMUMEŠšu₂,10
māru I,mar,{lu₂}A.KINME,12
māru I,mar,mariša₂,4
māru I,mar,mariia,3
māru I,mar,DUMU.ME.EŠ,10
māru I,mar,{lu₂}DUMU,9
māru I,mar,{lu₂}Ašiprišu₂,13
māru I,mar,DUMUME,6
māru I,mar,AMEŠ,4
māru I,mar,DUMU.A.NI,9
māru I,mar,maru,1
māru I,mar,mara,1
māru I,mar,Ašu₂ša₂,6
māru I,mar,DUMUMEŠša₂,9
māru I,mar,{lu₂}A.KINka,12
māru I,mar,{lu₂}AKIN,9
māru I,mar,{lu₂}AKINMEŠ,12
māru I,mar,DUMU.ME,7
māru I,mar,{lu₂}KIN.GI₄.A,14
māru I,mar,DUMUMEŠkina,11
māru I,mar,DUMU.MUNUS.MEŠkina,18
māru I,mar,maraki,3
māru I,mar,marašu₂,4
māru I,mar,DUMU.DUMU,9
māru I,mar,{lu₂}A.KINšu₂,13
māru I,mar,maar₂,2
māru I,mar,{lu₂}DUMUDU₃u₂tu₂,17
māru I,mar,HIBIZšina,9
māru I,mar,{lu₂}A.KIN,10
māru I,mar,DUMUka,6
māru I,mar,maaru,2
māru I,mar,DUMUšu,6
māru I,mar,{lu₂}DUMUMEŠ,12
māru I,mar,marimi,3
māru I,mar,DUMUmeeš,7
māru I,mar,DUMU{uru}NINA,12
māru I,mar,maraša₂,4
māru I,mar,maar,1
māru I,mar,DUMUMEŠšu₂nu,12
māru I,mar,AME,3
māru I,mar,marašu,3
māru I,mar,marušu,3
māru I,mar,maraam,3
māru I,mar,marum,2
māru I,mar,maruti,3
māru I,mar,marišu,3
māru I,mar,maraamma,5
māru I,mar,AMAR,4
māru I,mar,A.MEŠ,5
māru I,mar,DUMUMEŠea,9
māru I,mar,DUMUMES,7
māru I,mar,DUMUMEŠkunu,11
māru I,mar,{lu₂}DUMUšipri,13
māru I,mar,DUMUMEŠšu,9
māru I,mar,DUMUkaama,8
māru I,mar,DUMU+ša₂,7
māru I,mar,marušu₂,4
māru I,mar,DUMUša,6
māru I,mar,DUMU.DUMUMEŠšu₂,15
māru I,mar,TURša₂,5
māru I,mar,marišu₂,4
māru I,mar,ma(ZU)ri,5
māru I,mar,DUMUia,6
māru I,mar,Aša₂,3
māru I,mar,TURMEšina,9
māru I,mar,marukunuma,7
kunnu I,kunnuu₂,kunnuu₂,0
kīma I,kima,kima,0
kīma I,kima,GIM,4
kīma I,kima,GIN₇,4
kīma I,kima,LIBIR.RA.BI.GIM,15
kīma I,kima,kima(GIŠ),5
kīma I,kima,GIN₇ma,4
kīma I,kima,GIMma,3
kīma I,kima,kiima,1
qarnu I,qarni,qarni,0
qarnu I,qarni,SI,5
qarnu I,qarni,SIMEŠšu₂,8
qarnu I,qarni,SIšu₂,5
qarnu I,qarni,qarnaašu₂,5
qarnu I,qarni,qarnu,1
qarnu I,qarni,SIMEŠ,5
qarnu I,qarni,qa₂arniim,4
qarnu I,qarni,SIMEšu₂,7
qarnu I,qarni,qar(GAR₃)niki,8
qarnu I,qarni,qarnašu₂,4
qarnu I,qarni,qarranuka,5
qarnu I,qarni,SIME,5
qarnu I,qarni,SIšu,5
qarnu I,qarni,qaannu,3
qarnu I,qarni,qarnišu₂,3
qarnu I,qarni,SIMEŠša₂,8
qarnu I,qarni,qarne₂,2
qarnu I,qarni,qarna,1
qarnu I,qarni,qaraanšu₂,5
mû I,mee,mee,0
mû I,mee,AMEŠ,4
mû I,mee,A,3
mû I,mee,A.MEŠ,5
mû I,mee,AMEŠšu₂,7
mû I,mee,AMEŠša₂,7
mû I,mee,Ašu₂,4
mû I,mee,AME,3
mû I,mee,A.MEŠšu₂,8
mû I,mee,A₂MEŠšu₂nu,10
mû I,mee,AMEŠki,6
mû I,mee,muu₂,3
mû I,mee,AMEŠka,6
mû I,mee,meešu₂,3
mû I,mee,muu₂šu₂nu,8
mû I,mee,AMEŠšina,8
mû I,mee,muu₂ki,5
mû I,mee,AMEŠšu₂nu,9
mû I,mee,meešu,2
mû I,mee,mie,1
mû I,mee,AMEŠšunuti₃,11
mû I,mee,A.A,3
mû I,mee,A.BI,4
mû I,mee,me₂e,1
mû I,mee,Aša₂,4
mû I,mee,Aša,3
mû I,mee,AMES,4
mû I,mee,AGIN₇,5
mû I,mee,A.MES,5
bīnu II,biina,biina,0
bīnu II,biina,{giš}ŠINIG,9
bīnu II,biina,ŠINIG,5
bīnu II,biina,{giš}bini,6
bīnu II,biina,{geš}ŠINIG,10
bīnu II,biina,{giš}binu,6
bīnu II,biina,binu,2
bīnu II,biina,{giš}bina,5
bīnu II,biina,{giš}ŠINIG(NAGA),15
bīnu II,biina,biinu,1
bīnu II,biina,{giš}binim,7
bīnu II,biina,bini,2
bīnu II,biina,{geš}bini,7
zumru I,zumurša₂,zumurša₂,0
zumru I,zumurša₂,SUšu₂,6
zumru I,zumurša₂,SU,8
zumru I,zumurša₂,zumuršu₂,1
zumru I,zumurša₂,zu(SU)muršu,6
zumru I,zumurša₂,zuumrišu₂,4
zumru I,zumurša₂,zumuršu,2
zumru I,zumurša₂,zumur,3
zumru I,zumurša₂,SUMU,8
zumru I,zumurša₂,zuumriia,5
zumru I,zumurša₂,zumri,4
zumru I,zumurša₂,SUšu,7
zumru I,zumurša₂,zuumrišu,5
zumru I,zumurša₂,zuumri,5
zumru I,zumurša₂,zuumrika,5
zumru I,zumurša₂,SUia,7
zumru I,zumurša₂,zuumru,5
zumru I,zumurša₂,SUNI,8
zumru I,zumurša₂,zumuršunu,3
zumru I,zumurša₂,SUka,7
zumru I,zumurša₂,zuumra,4
zumru I,zumurša₂,zuu₂ru,5
zumru I,zumurša₂,zuu₂ri,5
zumru I,zumurša₂,zumuršu₂nu,3
zumru I,zumurša₂,SUBI,8
zumru I,zumurša₂,zuumriiš,5
zumru I,zumurša₂,zuumraam,4
zumru I,zumurša₂,SUia₅,7
zumru I,zumurša₂,zuumriia₂,4
simmu I,simmi,simmi,0
simmu I,simmi,GIG,5
simmu I,simmi,siimma,2
simmu I,simmi,GIGšu₂,6
simmu I,simmi,GIGMEŠ,6
simmu I,simmi,simmu,1
simmu I,simmi,siimmu,2
simmu I,simmi,siimme,2
simmu I,simmi,GIG.MEŠ,7
marṣu I,marṣi,marṣi,0
marṣu I,marṣi,GIGMEŠ,6
marṣu I,marṣi,GIG.GA,6
marṣu I,marṣi,GIG,5
marṣu I,marṣi,LU₂.GIG,7
marṣu I,marṣi,marṣa,1
marṣu I,marṣi,{lu₂}GIG,8
marṣu I,marṣi,marṣaku,3
marṣu I,marṣi,marṣuti,2
marṣu I,marṣi,SA.GIG,6
marṣu I,marṣi,marṣu,1
marṣu I,marṣi,marṣu₂tim,4
marṣu I,marṣi,GIGBI,5
marṣu I,marṣi,marṣutu,3
marṣu I,marṣi,GIG{meš},8
marṣu I,marṣi,marṣati,2
marṣu I,marṣi,{lu₂}TU.RA,10
marṣu I,marṣi,marṣum,2
marṣu I,marṣi,GIGti,4
marṣu I,marṣi,GIGME,5
marṣu I,marṣi,GIGma,5
marṣu I,marṣi,GIG.GA.A.KAM₂,13
marṣu I,marṣi,GIGti₃,5
marṣu I,marṣi,marṣaati,3
marṣu I,marṣi,maarṣu₂,3
marṣu I,marṣi,marṣatu,3
marṣu I,marṣi,GIG.GA.KAM,10
marṣu I,marṣi,GIG.GA.KAM₂,11
marṣu I,marṣi,marṣatuš,4
marṣu I,marṣi,marṣuma,3
apu I,api,api,0
apu I,api,apii,1
apu I,api,GIŠ.GI,6
apu I,api,apu,1
apu I,api,apišuma,4
apu I,api,{giš}GI,6
apu I,api,apiim,2
apu I,api,apa,1
apu I,api,GIŠ.GIMEŠ,9
apu I,api,api₂,1
apu I,api,api₂i,2
išātu I,iša₂atu₂,iša₂atu₂,0
išātu I,iša₂atu₂,IZI,8
išātu I,iša₂atu₂,iša₂ti,3
išātu I,iša₂atu₂,iša₂tu₄,2
išātu I,iša₂atu₂,išaat,3
išātu I,iša₂atu₂,iša₂tamma,4
išātu I,iša₂atu₂,iša₂tu,2
išātu I,iša₂atu₂,iša₂tu₂,1
išātu I,iša₂atu₂,NE,8
išātu I,iša₂atu₂,iša₂tuumma,5
išātu I,iša₂atu₂,iša₂atam,2
išātu I,iša₂atu₂,iša₂ta,3
išātu I,iša₂atu₂,išat,4
išātu I,iša₂atu₂,iša₂at,2
išātu I,iša₂atu₂,išatum,3
išātu I,iša₂atu₂,iša₂ti₃,3
šamû I,ANe,ANe,0
šamû I,ANe,AN,1
šamû I,ANe,šamee,4
šamû I,ANe,ANu₂,2
šamû I,ANe,ša₂mami,7
šamû I,ANe,ša₂muu₂,7
šamû I,ANe,šamuu₂,6
šamû I,ANe,ša₂mee,5
šamû I,ANe,šamu,4
šamû I,ANe,šamešaam,7
šamû I,ANe,šamaia,6
šamû I,ANe,GIŠ{+ANu₂},8
šamû I,ANe,ša₂maʾi,7
šamû I,ANe,ANMEŠ,3
šamû I,ANe,IN.ŠI.IN.SA₁₀,12
dāmu I,damu,damu,0
dāmu I,damu,MUD₂,4
dāmu I,damu,MUD₂UR.MAH,10
dāmu I,damu,UŠ₂,4
dāmu I,damu,damušu₂nu,5
dāmu I,damu,MUD₂MEŠša₂,10
dāmu I,damu,MUD,4
dāmu I,damu,MUD₂MEŠ,7
dāmu I,damu,dama,1
dāmu I,damu,dami,1
dāmu I,damu,damušu₂,3
dāmu I,damu,MUD₂MEŠšu₂,9
dāmu I,damu,MUD₂šu₂,6
dāmu I,damu,damišu,2
dāmu I,damu,MUD₂kama,6
dāmu I,damu,dame,1
dāmu I,damu,damešu₂,3
dāmu I,damu,daami,2
dāmu I,damu,daama,2
dāmu I,damu,damišu₂,3
dāmu I,damu,daame,2
dāmu I,damu,MUD₂ša₂,7
qerbetu I,qerbe₂etu₄,qerbe₂etu₄,0
qerbetu I,qerbe₂etu₄,qerbetsu,4
qerbetu I,qerbe₂etu₄,qerbaati,5
qerbetu I,qerbe₂etu₄,qerbatu₄ka,5
qerbetu I,qerbe₂etu₄,qerbe₂ti,3
qerbetu I,qerbe₂etu₄,qerbeetu₄,1
qerbetu I,qerbe₂etu₄,qerbe₂te,3
qerbetu I,qerbe₂etu₄,qerbe₂tu₄,1
qerbetu I,qerbe₂etu₄,qe₂erbe₂ti,5
qerbetu I,qerbe₂etu₄,qarbati₃,6
qerbetu I,qerbe₂etu₄,qarbaati₃,6
inanna I,inaanna,inaanna,0
inanna I,inaanna,eninni,4
inanna I,inaanna,inanna₂,2
