GPT_4_MINI_Small_Batch_Freq_to_Infreq_13
Statistical analysis:
Total Guesses:,183
Total Akkadian Guesses:,183
Total Correct Akkadian Guesses:,0,Percent Correct Guesses:,0.0
Total Incorrect Akkadian Guesses:,183,Percent Incorrect Guesses:,1.0
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with only questions in small batches of 4 lemmas x28. train on frequent then infrequent batches. give only context as example sentence. for training: 32 high frequency, 24 low frequency, all sumerian/emesal. test batch size = 50. small mistake correction (thresh 3), common mistake correction (thresh 3), and negative reinforcement used in training. Example sentence masks turned on.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
hiālu I,7,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ihalu,1,0.0,1.0,( ihalu )
,ihiil,1,0.0,1.0,( ihiilu | KI [MASK] ihiil )
,sebetma,1,0.0,1.0,( sebetu | [MASK] [MASK] [MASK] ina ANe [MASK] ina KIti₃ sebetma )
werû I,13,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,URUDU,1,0.0,1.0,( URUDU | IM.SAHAR.BABBAR.KUR.RA U₂BABBAR [MASK] tuškaa {u₂}zibaa ILLU URUDU )
,URUDUHI.A,1,0.0,1.0,( URUDUHI.A | [MASK] URUDUHI.A )
,URUDA,1,0.0,1.0,( URUDA | MA.NA [MASK] GIN₂.TA URUDA )
,{na₄}URUDU,1,0.0,1.0,( URUDU | NA₄ KU₃.BABBAR NA₄ KU₃.SI₂₂ {na₄}URUDU {na₄}AN.NA NA₄MEŠ [MASK] ŠA₃MEŠšu₂ DAB.DABsu UŠ₂ ina KIR₄šu₂ )
,eree,1,0.0,1.0,( ere | TUG₂.BAR.SIG U₄.1.KAM₂ MU₄.MU₄sunuti miseer eree MURUB₄šunu tapper )
,eruu₂,1,0.0,1.0,( erû | [MASK] [MASK] [MASK] eruu₂ )
,URUDUMEŠ,1,0.0,1.0,( URUDUMEŠ | 4ut KU₃.BABBAR MA.NA URUDUMEŠ )
,eraa,1,0.0,1.0,( erû | eraa danna )
,{na₄}URUDUME,1,0.0,1.0,( URUDUME | [MASK] {na₄}URUDUME TIqi₂ ina DUR )
,URUDU.NITA,1,0.0,1.0,( URUDU.NITA | {na₄}muṣa {na₄}ZALAG₂ {na₄}ZA.GIN₃ {na₄}ŠUBA {na₄}BAL URUDU.NITA )
,erii,1,0.0,1.0,( erû | [MASK] [MASK] [MASK] ina mar kas₃pi ina mar erii )
,eriiš,1,0.0,1.0,( erû | eriiš ematama )
,eri,1,0.0,1.0,( eri | eri ZABAR SAG.DUMEŠšu₂nu raksa )
rabû III,23,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ŠU₂MEŠ,1,0.0,1.0,( ŠU | u₂lu {d}UDU.TILMEŠ U₄MEŠšina NU [MASK] haanṭiš ŠU₂MEŠ )
,irabbima,1,0.0,1.0,( irbu | U₄.15.KAM@v irabbima KI {d}UTU IGIma )
,ŠU₂ma,1,0.0,1.0,( ŠU | DIŠ U₄ ŠU₂ma )
,turab,1,0.0,1.0,( turābu | ZI₃.DA u KAŠ.U₂.SA HI.HIma IZI.GAR turab šutešer KASKALka ana )
,ŠU₂amma,1,0.0,1.0,( ŠU | ina {iti}APIN [MASK] ŠU₂amma [MASK] [MASK] [MASK] [MASK] [MASK] ina {iti}GAN )
,ŠU₂,1,0.0,1.0,( ŠU | DIŠ ina {iti}AB ina ŠU₂ 3šu₂ LU₂ NIG₂.TUKU )
,rabe₂e,1,0.0,1.0,( rabbû | [MASK] TA KURha {d}UTU adi {d}UTU rabe₂e )
,rabe₂ešu₂,1,0.0,1.0,( rabe₂u | u₂tammeka {d}UTU ina rabe₂ešu₂ ina SU A [MASK] lu tareeq lu tene₂essi )
,GALe,1,0.0,1.0,( GAL | [MASK] [MASK] U₄.30.KAM₂ IGI.LA₂ ina ŠA₂ u₄me ina GALe {d}UTU IGIma )
,GAL,1,0.0,1.0,( GAL | [MASK] ina [MASK] GIM [MASK] ina [MASK] IGI ina ŠA₃ u₄me ina GAL {d}UTU IGIma )
,irbi,1,0.0,1.0,( irbu | [MASK] ina [MASK] GUBma irbi ina )
,ŠU₂.ŠU₂,1,0.0,1.0,( ŠU | [MASK] [MASK] ina DUNGUMEŠ NITAMEŠ ŠU₂.ŠU₂ AN )
,GALma,1,0.0,1.0,( GAL | DIŠ GALma UD.DA arkanu GAL₂ši )
,rabuu₂,1,0.0,1.0,( rabû | DIŠ {mul}DIL.BAD UD.DAsa₃ ištappu u₂tannaatma [MASK] rabuu₂ )
,ŠU₂u₂,1,0.0,1.0,( ŠU | ša₂ ema ITI IGIru ema ITI ŠU₂u₂ [MASK] ŠU₂bi annaa [MASK] [MASK] DU₃.DU₃ )
,ŠU₂bi,1,0.0,1.0,( ŠU | [MASK] ana ŠU₂bi ša₂ {d}30 )
,ŠU₂.ŠU₂bi,1,0.0,1.0,( ŠU₂.ŠU₂bi | [MASK] ina IGI.LA₂šu₂ ina DUNGU SA₅ ŠU₂.ŠU₂bi mašruu₂ )
,ŠU₂.BI,1,0.0,1.0,( ŠU.BI | [MASK] ana ŠU₂.BI )
,irtabišu₂,1,0.0,1.0,( irtabiš | uštabarri [MASK] {d}UTU irtabišu₂ ana erṣeti₃ mituti )
,turabba,1,0.0,1.0,( turabbu | GIŠ.HURMEŠ ina KA₂ turabba adi LU₂.GIG )
,ŠU₂BI,1,0.0,1.0,( ŠU₂BI | DIŠ MAN ina DUNGU GE₆ GINak UTU ŠU₂BI ŠEG₃ )
,ŠU₂šu₂,1,0.0,1.0,( šūšu | kii ina ŠU₂šu₂ la )
,irbima,1,0.0,1.0,( irbu | [MASK] irbima ana )
ai II,4,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,aa,1,0.0,1.0,( aa | amuru ana SIG₅ti₃ aa [MASK] aa DIM₄ mimma lemnu mimma NU )
,aai,1,0.0,1.0,( aai | NUN šuu₂ ina u₈i aai )
,aaamma,1,0.0,1.0,( aaḫu | ana URUka aaamma lullika )
,e,1,0.0,1.0,( e | e baruu₂ ina ŠA₃ )
Nanaya-iddin I,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{m}{d}nanaaMU,1,0.0,1.0,( nanaaMU | {m}{d}nanaaMU u₃ DUMUMEŠ ša₂ {m}nidintu₄{d}60 DUMU {m}{d}60MUGAL₂ši ina huud lib₃bišu₂nu )
Wardiya,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,(I)-wa-ar-di-ia,1,0.0,1.0,( waardi | A-ŠÀ-i (I)-wa-ar-di-ia )
tēšû I,7,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,SUH₃,1,0.0,1.0,( SUH | BE [MASK] [MASK] ZE₂ [MASK] SUH₃ [MASK] [MASK] [MASK] GAL₂ši )
,SUH₃MEŠma,1,0.0,1.0,( SUH₃MEŠ | UNMEŠ SUH₃MEŠma )
,tešee,1,0.0,1.0,( tešû | [MASK] tešee gimir )
,SUH₂,1,0.0,1.0,( SUH | U₈ [MASK] U₃.TU SUH₂ ina KUR GAL₂ši EN UDU.NITA₂ )
,SUH₄,1,0.0,1.0,( SUH | BE ŠA₃.NIGIN GIM BARti DINGIR u {d}iš₈tar₂ SUH₄ UGU ERIN₂niMU ŠUBdi )
,tešuu₂,1,0.0,1.0,( tešû | BE ŠA₃.NIGIN GIM harharri tešuu₂ )
,teša₂a,1,0.0,1.0,( tešû | [MASK] teša₂a )
hašmānu I,3,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{na₄}hašmani,1,0.0,1.0,( hašmānu | [MASK] {d}LAMMA {na₄}hašmani )
,{na₄}SAG.GIL.MUD,1,0.0,1.0,( SAG.GIL.MUD | [MASK] {na₄}SAG.GIL.MUD )
,hašmana,1,0.0,1.0,( hašmānu | TUG₂ hašmana MU₄.MU₄si tudinaat KU₃.GI tunamdasi )
elēhu I,4,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,telliih,1,0.0,1.0,( tellu | [MASK] GU₄ ŠEG₆šal [MASK] telliih ina KUŠ )
,tuullah₃,1,0.0,1.0,( tuulû | BABBAR SIK₂ [MASK] tuullah₃ ina )
,ulluhu,1,0.0,1.0,( ullû | enuma ulluhu )
,eliih,1,0.0,1.0,( eliḥ | BALqi₂ eliih )
taqribtu I,7,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,taaqribatim,1,0.0,1.0,( taqru | ana taaqribatim )
,taq₂ribti,1,0.0,1.0,( taqāribtu | [MASK] ana [MASK] ina taq₂ribti ṣirha luuqbišu )
,taqribtiia,1,0.0,1.0,( taqribtu | [MASK] ina taqribtiia )
,taqribti,1,0.0,1.0,( taqribtu | ina ša₂kan taqribti TI.LAsu qi₂bi )
,taqribti₃,1,0.0,1.0,( taqribtu | [MASK] taqribti₃ )
,takribti,1,0.0,1.0,( takribu | ina takribti )
,ER₂,1,0.0,1.0,( ER | BALqi₂ [MASK] [MASK] [MASK] [MASK] ER₂ [MASK] [MASK] [MASK] [MASK] [MASK] ER₂.ŠEM₄.MA SIR₃ )
suqtu I,7,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,suuqti,1,0.0,1.0,( sūqtu | DIŠ AGA ša la suuqti apir )
,suqtišu₂,1,0.0,1.0,( suqtu | ina UGU suqtišu₂ zarat u kabbarat )
,suuqtišu,1,0.0,1.0,( sūqtu | [MASK] suuqtišu KI.TA ša₂ )
,suqta,1,0.0,1.0,( suqtu | suqta TUKU [MASK] [MASK] [MASK] [MASK] suqta [MASK] TUKU )
,suqtu₄,1,0.0,1.0,( suqtu | suqtu₄ kanzuzu )
,su₂uq(KIB)tu₄,1,0.0,1.0,( suqtu | [MASK] [MASK] [MASK] su₂uq(KIB)tu₄ )
,suqatsu,1,0.0,1.0,( suqātu | DIŠ IGIMEŠšu₂ maaqtuma suqatsu ṣabtaat u UŠ₄šu₂ NU DAB GAM )
tārītu I,3,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,taritu₄,1,0.0,1.0,( tarītu | taritu₄ hubul(TUL₂)la )
,tariti,1,0.0,1.0,( tarītu | šer₃ra [MASK] buud tariti )
,taritu,1,0.0,1.0,( tarītu | ša₂kin taritu )
diâšum,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,i-di-iš-šu,1,0.0,1.0,( i-di-šu | GÁN A-ŠÀ-ŠUKU-sú i-di-iš-šu )
Lupahum,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,(I)-lu-pa-hu-um,1,0.0,1.0,( lu-pāḫum | ṭe₄-ma-am an-né-e-em (I)-lu-pa-hu-um id-bu-ba-am )
Sin-ili,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,(d)-EN-ZU,1,0.0,1.0,( Enzu | ù (d)-EN-ZU )
nehû II,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ittuhu,1,0.0,1.0,( ittuhû | {u₂}KUR.KUR ana IGIMEŠšu₂nu DUBaq GIM {lu₂}GIG ittuhu ina )
aprušu I,6,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{u₂}ap₂ruša₂,1,0.0,1.0,( aprušu | DIŠ KIMIN {u₂}ap₂ruša₂ SUD₂ ina I₃ HI.HI ILLU {giš}abukatu₂ ana ŠA₃ ŠUBdi )
,{u₂}ap₂ruša,1,0.0,1.0,( aprušu | {šim}ŠEŠ DUH.LAL₃ {u₂}ap₂ruša I₃.GIŠ DU₁₀.GA DIŠniš HI.HI ina I₃.GIŠ ŠEŠ₂MEŠsu )
,{u₂}ap₂rušu₂,1,0.0,1.0,( aprušu | [MASK] ṣaṣuuntu₂ {u₂}ap₂rušu₂ {giš}GEŠTIN KA₅.A HAD₂.DU SUD₂ ina I₃.GIŠ HI.HI [MASK] {na₄}BUR )
,{u₂}apruša₂,1,0.0,1.0,( aprušu | NU GID₂.DA {u₂}apruša₂ )
,{u₂}ap₂ruuš,1,0.0,1.0,( apruš )
,{u₂}apru₃ša₂,1,0.0,1.0,( aprušû | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] {u₂}apru₃ša₂ {u₂}il₃kul₂la ša₂ PU₂ )
Niru I,4,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{mul}ŠUDUN,1,0.0,1.0,( ŠUDUN | E₃a [MASK] ina {iti}AŠ₂ U₄.1.KAM@v ina SI {mul}ŠUDUN )
,{d}niri,1,0.0,1.0,( nīru | {d}niri {d}SAG.ME.GAR {d}ne₂be₂ri {d}SAG.ME.GAR )
,{mul₄}ŠUDUN,1,0.0,1.0,( ŠUDUN | DIŠ KIMIN {mul₄}ŠUDUN KURma DIM₄ ZAH₂ )
,{mul}niru,1,0.0,1.0,( niru | MUL ša₂ ina ZI {tum₉}U₁₈.LU GUBzu {mul}BIR {mul}niru {d}e₂a [MASK] {iti}KIN IGImar u )
buṭnānu I,4,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{u₂}buuṭnanu,1,0.0,1.0,( buuṭnanu | GIN₂ {u₂}buuṭnanu [MASK] GIN₂ {u₂}qulqullanu )
,buuṭnanu,1,0.0,1.0,( būṭu )
,buuṭnana,1,0.0,1.0,( būṭu )
