['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['common mistake negative reinforcement prompt: '," ['""When'", 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zanānu I,30,0.066666667,0.933333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iznun,1,0,1,( iznu I | MINma ina {im}KUR iznun ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ŠURnun,1,0,1,( šur I | DIŠ u₄um DINGIR AN ŠURnun DIŠ ŠU DINGIR DAB ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SURnun,1,0,1,( SUR I | SURnun šumma ILLU DUkam šumma ZI mehee šumma {d}IŠKUR ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iznunma,1,0,1,( iznunu I | iznunma ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SURan,1,0,1,( SUR I | DIŠ {d}IŠKUR {d}IŠKUR ina NA₄ ANu₂ SURan ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,izaannunu,1,0,1,( zanû I | {im}ŠEG₃ izaannunu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUR,1,0,1,( SUR I | ina DUNGU GI₆ ŠU₂ SUR AN ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ŠUR,1,0,1,( šur I | ša₂ iqbuu₂ ŠUR zananu zuunnu dannu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ŠEG₃ma,1,0,1,( šegû I | nenmuda ŠEG₃ ŠEG₃ma ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u₂ša₂aznaan,1,0,1,( šaaznu I | mehee {im}U₁₈.LU ŠEG₃ u₂ša₂aznaan DIŠ mehee ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ŠURma,1,0,1,( šur I | {d}IŠKUR ina KUR {d}UTU GU₃šu₂ ina U₄ BI AN ŠURma U₄ idannin ŠEG₃MEŠ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zananuum,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SURin,1,0,1,( SUR I | {d}IŠKUR ina MURU₂ {d}UTU SA₅ SURin AN SURMEŠ ILLU KU₅MEŠ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SURMEŠ,1,0,1,( SUR I | TA ŠA₃ GIR₂.GIR₂ EN {tum₉}MAR GUBMEŠ ina ITI BI ŠEG₃ SURMEŠ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zananu,1,0,1,( zanītu I | ša₂ iqbuu₂ ŠUR zananu zuunnu dannu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,izaannuun,1,0,1,( zanû I | {na₄}IGI.ZAG₃.GA₂ {na₄}EN(IGI) {na₄}ZA.GIN₃ {na₄}ZU₂.LUM NA₄MEŠ izaannuun ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,izaannun,1,0,1,( zanû I | izaannun iša₂tu ihaammaṭ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ŠEG₃,1,0,1,( šegu I | BI ŠEG₃ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,muša₂aznin,1,0,1,( muša I | muša₂aznin nuuhši ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tazanuni,1,0,1,( tazannu I | tazanuni martu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u₂šaaznana,1,0,1,( šaaznu I | ina E₂ E₂.SIG₄MEŠ I₃ u₂šaaznana E₂ UKU₂ išar₂ru₃ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zuunnani,1,0,1,( zuʾnunu I | huṣaaba ammini taššani zuunnani GIN₇ MUL ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zananišu₂,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,izanunu,1,0,1,( izan I | UNMEŠ izanunu HE₂.NUN.NA imtu₄ martu₄ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u₂ša₂aznin,1,0,1,( šašāzu I | imbari u₂ša₂aznin ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SURma,1,0,1,( SUR I | AN SURma ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u₂šaaznaan,1,0,1,( šaaznu I | u₂šaaznaan el niši šamuut ṭuhdi ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ŠEG₃.GA₂,1,0,1,( šegu I | ŠEG₃.GA₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GA₂,1,0,1,( ga I | DIŠ DUNGU {im}MAR ana {im}MIR issa₃hur ŠEG₃ NU GA₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ŠURan,1,0,1,( šur I | ša₂miṭ ŠURan ANe ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ṣētu I,13,0.384615385,0.615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UD.DA,1,0,1,( ūtu I | UGUšu₂ UD.DA TAB {šim}LI {šim}GUR₂.GUR₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ṣeeti₃,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ṣeeti,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UD.DAsu,1,0,1,( asu I | U₄ UD.DAsu galtaat ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UD.DAsa₃,1,0,1,( UD I | DIŠ {mul}DIL.BAD UD.DAsa₃ galtaat u₂tanaatma ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ṣeetu₄,1,0,1,( šētu I | ina qabal ša₂ šarbu u₃(u₂) ṣeetu₄ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ṣetu₂,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UD.DAka,1,0,1,( dāku I | šuturat UD.DAka GIM {d}UTU ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U₄.DA,1,0,1,( ūmu I | hepi₂ eššu₂ la iggiig ŠU GIDIM₇ U₄.DA LU₂ GIM {giš}GIDRU ša₂ {d}30 GIR₃šu₂ DAB(MA) ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ṣeetu,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UD.DAsunu,1,0,1,( ud I | u UD.DAsunu KIšu₂ KURšu₂ u UNMEŠšu₂ zeni ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UD.DAsa,1,0,1,( ūtu I | ina KURša₂ UD.DAsa GIN₇ MURU₉ GAL₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ṣetu,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ākilu I,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,akilu₄,1,0,1,( akilu I | akilu₄ ša₂ piišu₂nu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,akilu,1,0,1,( aklu I | akilu munu mubattiru A.ŠA₃ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,akil,1,0,1,( aklu I | reʾu₂ akil ṭe₃emi milku ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,akilat,1,0,1,( akilu I | ana akilat GURUN ṣippaati ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,akili,1,0,1,( aklu I | akili mubattiru ina ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,akila,1,0,1,( aklu I | KA.INIM.MA BURU₅ muna akila mubattira ṣaṣiri ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,akilum,1,0,1,( aklu I | akilum munu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epēšu II,172,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃uš,1,0,1,( duš I | {udu}SISKUR DU₃uš {uzu}ZAG tuṭahha KAŠ BALqi₂ GIŠ.GAN₂ {giš}MA₂.EREŠ₄{eš}.MA₂lee ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epuuš,1,0,1,( epušu I | epuuš piia DINGIRMEŠ šemuninni ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃eš,1,0,1,( du I | bulṭu DU₃eš TI asuu₂ti ša₂suu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epeši,1,0,1,( epešu I | ana SIG₅ti₃ GARan adi naqari u epeši muuhhuru ER₂MEŠ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teppuuš,1,0,1,( teppu I | teppuuš MUNUS.LA.RA.AH ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃ka,1,0,1,( duku I | ana DU₃ka BE ana TUR₃ KU₄ mimma tepušu₂ GI ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epiiš,1,0,1,( epēšu I | miinu hiiṭṭu NAM.BUR₂.BIša₂ lu epiiš ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epiš,1,0,1,( epušu I | epiš E₂.GAL ša₂aši inamziq ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lipušu₂,1,0,1,( lipu I | u NUN ša₂ buniia lipušu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃ma,1,0,1,( dūma I | BE ana SILIM KARAŠ UR₅.UŠ₂ DU₃ma ina SILIMti₃ GU₂.MUR uppuuq DUB.8.KAM ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,inneeppuu₂šu₂,1,0,1,( neppû I | inneeppuu₂šu₂ išalliimi₃ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ipuša₂,1,0,1,( epušu I | aš₂šu₂ la epuša₂aš₂šiimma ipuša₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,uppuš₄,1,0,1,( uppu I | KA.INIM.MA uppuš₄ IGI.TAB ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ipušu,1,0,1,( ipu I | ipušu imuru DINGIR.DINGIR ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epišu,1,0,1,( epēšu I | epišu ša₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eppušu₂šu₂nu,1,0,1,( eppušu I | ana eppušu₂šu₂nu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teteepšu₂,1,0,1,( teteepu I | annam teteepšu₂ NUMEŠ ina NIG₂.NA ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epušu₂uš,1,0,1,( epušu I | epušu₂uš ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃,1,0,1,( du I | KARet ana DU₃ AŠ₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,inne₂epšu₂,1,0,1,( epšu I | ša₂ kiaam inne₂epšu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epeešu,1,0,1,( epešu I | kinaata ippaliisma ana LUGALu₂(LU)tu kiššat UNMEŠ epeešu ittabi ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lipuuš,1,0,1,( lipu I | lipuuš liblamma ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iteepšu₂,1,0,1,( tēpu I | iteepšu₂ ilitti ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ipuuš,1,0,1,( ipū I | KURšu₂ ipuuš ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃šu₂,1,0,1,( dū I | ina INIMMU MU ŠUMU ina mimma mala DU₃šu₂ u tamit akarrabu kittu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epšeet,1,0,1,( epšu I | epšeet ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u₂tappiš,1,0,1,( tappu I | qarabu u₂tappiš maa miinu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃.DU₃uš,1,0,1,( duš I | DU₃.DU₃uš ZA₃.HI.LI SUD₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,uppušu₂,1,0,1,( uppu I | TA {giš}DA LIBIR uppušu₂ SARma baru₃ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ippušu,1,0,1,( ippu I | itti {lu₂}KUR₂šu imtahṣuma DU₁₄ ippušu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ipušuki,1,0,1,( ipuš I | ana gipari ša₂ {d}anum ipušuki ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epeš,1,0,1,( epešu I | lib₃bašu₂ epeš ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ippuušMEŠ,1,0,1,( ippu I | u {lu₂}NAGAR ša₂ dullu ša₂ ṣalam ša₂ {d}+INNIN ippuušMEŠ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lipuušMEŠ,1,0,1,( lipu I | lib₃buu₂šu₂ lipuušMEŠ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₂ma,1,0,1,( dūmu I | 3šu₂ DU₂ma inaeš ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃ušma,1,0,1,( dušum I | GU₄ DU₃ušma ina šaplaan haree ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃aš₂,1,0,1,( du I | KASKAL DIBbat URU u DU₃aš₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,uppuuš,1,0,1,( uppu I | u uppuuš ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUuš,1,0,1,( du I | UDU.SILA₄ annaa ZAG DUuš ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃MEŠma,1,0,1,( dumu I | inambuuṭ ana LUGAL HI.GAR DU₃MEŠma LUGAL ina E₂.GALšu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃MEŠ,1,0,1,( dumu I | ina PU₂ BADma u ša₂ NU DU₃MEŠ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lupuuš,1,0,1,( lupû I | lupuuš luteerbaam ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teteepša₂,1,0,1,( teteepu I | teteepša₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,uppu₂uš,1,0,1,( uppu I | u uppu₂uš gi₃ṭu {m}KI{d}+ENDIN ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nipuuš,1,0,1,( nipu I | alkam luunneedraam kima liibbi iqbiaam i nipuuš ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lišepi₂šušu,1,0,1,( lišepu I | nipi₂šaam ana lišepi₂šušu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,inne₂eppuuš,1,0,1,( epušu I | ZA₃ epuuš šumma ana ṭaabta inne₂eppuuš ina EGIR naqari u epeši ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ippuušma,1,0,1,( ippu I | ippuušma NINDA{hi.a} {m}NUMUNTIN.TIR{ki} ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,etane₂paaš₂,1,0,1,( etānu I | DIŠ ŠA₃MEŠšu₂ MU₂.MU₂ ittane₂biṭu ŠA₃šu ana parree etane₂paaš₂ ana TIšu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ippuuš,1,0,1,( ippu I | GIGma ana ippuuš ana ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ipušu₂,1,0,1,( ipu I | bi ipušu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epu₂uš,1,0,1,( epušu I | ul epu₂uš e₂kur ul ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ipu₂šu,1,0,1,( ipu I | ša ipu₂šu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DU₃su,1,0,1,( du I | ummat takṣaatu₂ DU₃su dii EN.TE.NA ana A ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epušu₂,1,0,1,( epušu I | ša₂ ina qi₂bit u epušu₂ ARADu₂ti alqaa ana ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teeppušu,1,0,1,( teeppu I | teeppušu ki ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,epušuma,1,0,1,( epuš I | anaku ul DU₃uš anaku epušuma ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,šupušaam,1,0,1,( šupšu I | ša pi₂kunu šupušaam ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
