,{ninda}I₃.DE₂.A,1,0,1,( ninda I | {ninda}I₃.DE₂.A LAL₃ GARan ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pirištu I,11,0.454545455,0.545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AD.HAL,1,0,1,( adû I | BE AD.HAL ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pirištu₄,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AD.HALšu₂,1,0,1,( adû I | naṣiru AD.HALšu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pirištu₂,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pirišti,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AD.HALia₂,1,0,1,( adû I | AD.HALia₂ lu ZU atta lu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pirišti₃,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,piriištum,1,0,1,( pirītu I | piriištum ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pirištu,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HALMEŠMU,1,0,1,( halmu I | DINGIRMEŠ GALMEŠ ZUMEŠ HALMEŠMU ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,adhal,1,0,1,( adû I | abzu adhal ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edēdu I,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eddeetma,1,0,1,( edû I | SI ZAGšu₂ eddeetma MUL GUB ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIG,1,0,1,( SIG I | SAG KI.GUB GIM KIR₄ {giš}DALLA₂ SIG NUN ina KUR TIqe₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eddeet,1,0,1,( eddu I | SI GUB₃šu₂ kepat SI eddeet {d}IŠKUR ina KUR GAR ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eddeed,1,0,1,( eddu I | DIŠ GE₆ma SI GUB₃šu₂ kepat SI ZAGšu₂ eddeed ina KI.HUL ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,edda,1,0,1,( eddu I | edda GANBA ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eddi,1,0,1,( eddu I | ina SIMEŠšu₂ eddi GANBA SI.SA₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eddama,1,0,1,( iddamu | eddama LUGAL ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eduudma,1,0,1,( edu I | DIŠ ina U₄.1.KAM@v ina IGI.LA₂šu₂ SIšu₂ ša₂ eduudma {d}šul.pa.e₃ A₂šu₂ GUBaz ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,udduud,1,0,1,( uddu I | DIŠ udduud ededu ṣapari ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ededu,1,0,1,( edû I | ededu ededu ṣaparu ša SI ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,edeed,1,0,1,( edû I | KITA ina SI GUB₃šu₂ TEšu₂ma SAG.KI GID₂.DA edeed ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bêlum,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-lí-ia,1,0,1,( bēlu I | a-na be-lí-ia ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-el,1,0,1,( bēlu I | lum be-el ṣi-bu-tim ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-lí,1,0,1,( bēlu I | be-lí a-na gi-mil-(d)-AMAR-UTU ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-lí-ka,1,0,1,( bēlu I | šu-pu-ur a-na be-lí-ka ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-el-ni,1,0,1,( bēl I | i-na A-ŠÀ-im ša be-el-ni ik-nu-ka-an-ni-a-ši-im ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-ia,1,0,1,( bītu I | a-na be-ia ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-li-ia,1,0,1,( bēlu I | di-nam ki-ma ṣi-im-da-at be-li-ia ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ia,1,0,1,( ia I | ia qí-bí-ma ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lí-ia,1,0,1,( lī I | ub-lu-nim ù šu-ba lí-ia ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lí-ne,1,0,1,( lī I | a-na lí-ne ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-lí-ne,1,0,1,( bēl I | a-na ṣe-er be-lí-ne ni-iṭ-ṭà-ar-dam ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be,1,0,1,( be I | (I)-la-ri-im-a-bu-um a-na ṣe-er be ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lí,1,0,1,( lū I | lí i-ba ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,te-bi-il,1,0,1,( tēbilu I | ma-a-tam te-bi-il i-na-an-na ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-lí-ma,1,0,1,( bēlu I | lí ki-a-am iš-pu-ra-am um-ma be-lí-ma ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-lí-ka-a,1,0,1,( bēl I | ka-ia-an-tam ki-a-am na be-lí-ka-a la dam-qa-at zi-im-ri-(d) ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-el-ka,1,0,1,( bēl I | ša-pa-ra-am ù ta-ra a-na iš-te-et be-el-ka ú-ul i-še-em-me-ka ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a-be-lí-ia,1,0,1,( ablu I | an-na a-be-lí-ia a-na ṣe-er ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,be-li,1,0,1,( bēlu I | be-li it-ta-na-ap-la-su a-na (giš)-TUKUL-HI-A e-pé-ši-im ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ne,1,0,1,( ne I ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elpetu I,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,elpeti,1,0,1,( elpu I | ana nasahi elpeti uznu TU₆.EN₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,elpitu₂,1,0,1,( elpitu I | kasii ikkal elpitu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NUMUN₂,1,0,1,( NUMUN I | SUHUŠ NUMUN₂ GI ŠUL.HI HENBUR₂ GI NAGA.SI DIDA {giš}EREN {u₂}A.ZAL.LU ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{u₂}NUMUN₂,1,0,1,( NUMUN I | {u₂}NUMUN₂ ina muhhi ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{u₂}elpitu₄,1,0,1,( elpitu I | akuli {u₂}elpitu₄ balti u₂šalli ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{u₂}NUMUN₂{sar},1,0,1,( NUMUN I | ina hirit URU {u₂}NUMUN₂{sar} ina KUR DU₂.A.BI KI.LAM ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,elpati,1,0,1,( elpatu | šuatu₂ kima inasahu kima elpati ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qištu I,9,0.222222222,0.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qa₂aš₂tu₄,1,0,1,( qašû I | qa₂aš₂tu₄ šer₂ana ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{giš}TIR,1,0,1,( tiru I | limhurki {giš}GI {giš}TIR ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{giš}TIRMEŠ,1,0,1,( tirmu I | surraati {giš}TIRMEŠ epeš ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qi₂ša₂tuma,1,0,1,( qišātu I | u qi₂ša₂tuma ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qi₂ištum,1,0,1,( qištum I | ana u₃ qi₂ištum ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qi₂ša₂ati,1,0,1,( qišātu | lu ina lu ina qi₂ša₂ati ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{giš}TIRia,1,0,1,( tīru I | arid {giš}TIRia ul u₂tara ana EGIRšu₂ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qišta,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qištu₂,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-BA-DU,1,0,1,( al-bādu I | A-ŠÀ AL-BA-DU ṭú-up-pu-šum ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ra-ab,1,0,1,( rabû I | Á-GÁL ra-ab ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ka-a,1,0,1,( ka I | ha-al-qú a-di ka-a ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bi-šu-te,1,0,1,( bištu I | bi-šu-te ú-ul i-il-la-kam ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,1,0,1,( a I | ka-al a ka-al-bi ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i-te-en-nim,1,0,1,( iṭṭu I | til-la-at be-lí-ia i-te-en-nim ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ŠU-SILIM-MA,1,0,1,( šum I | A-NI ŠU-SILIM-MA ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AB-DI-DI-DÈ-A,1,0,1,( abdi I | ALAM-A-NI ŠU-SILIM-MA AB-DI-DI-DÈ-A ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(ki),1,0,1,( ki I | ù a-na (ki) ta-na-ad-di-na-šum ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AB-DI-DI-E-DÈ-A,1,0,1,( Abdi-iddia I | ALAM-A-NI ŠU-SILIM-MA AB-DI-DI-E-DÈ-A ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ÀM,1,0,1,( am I | na-al-pí-tu SU ÀM ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ṣerru II,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: AKKADIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ṣerri,1,0,1,( ṣerru I | ṣerri ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ṣe₂raam,1,0,1,( šarru I ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqba-Hammu,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WordType: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language: UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tested Clean Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ha-aq-ba-ha-am-mu,1,0,1,( haqba I | an-na-am-ma-ru ha-aq-ba-ha-am-mu ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
